motif,motif_pretty,length,support_total,support_correct,support_incorrect,p_correct,p_incorrect,enrichment_correct,enrichment_incorrect,dominant_label
compute|analyze,compute -> analyze,2,192,136,56,0.708333,0.291667,2.403509,0.416058,correct
analyze|compute,analyze -> compute,2,186,139,47,0.747312,0.252688,2.916667,0.342857,correct
instantiate|compute,instantiate -> compute,2,167,120,47,0.718563,0.281437,2.520833,0.396694,correct
analyze|instantiate,analyze -> instantiate,2,144,107,37,0.743056,0.256944,2.842105,0.351852,correct
instantiate|analyze,instantiate -> analyze,2,130,94,36,0.723077,0.276923,2.567568,0.389474,correct
compute|instantiate,compute -> instantiate,2,124,79,45,0.637097,0.362903,1.739130,0.575000,correct
compute|analyze|instantiate,compute -> analyze -> instantiate,3,101,71,30,0.702970,0.297030,2.322581,0.430556,correct
check-constraint|compute,check-constraint -> compute,2,82,61,21,0.743902,0.256098,2.818182,0.354839,correct
analyze|compute|analyze,analyze -> compute -> analyze,3,79,61,18,0.772152,0.227848,3.263158,0.306452,correct
analyze|instantiate|compute,analyze -> instantiate -> compute,3,79,56,23,0.708861,0.291139,2.375000,0.421053,correct
compute|check-constraint,compute -> check-constraint,2,77,46,31,0.597403,0.402597,1.468750,0.680851,correct
instantiate|analyze|compute,instantiate -> analyze -> compute,3,76,55,21,0.723684,0.276316,2.545455,0.392857,correct
compute|substitute,compute -> substitute,2,75,49,26,0.653333,0.346667,1.851852,0.540000,correct
substitute|compute,substitute -> compute,2,71,54,17,0.760563,0.239437,3.055556,0.327273,correct
conclude|compute,conclude -> compute,2,70,36,34,0.514286,0.485714,1.057143,0.945946,correct
compute|instantiate|compute,compute -> instantiate -> compute,3,66,45,21,0.681818,0.318182,2.090909,0.478261,correct
instantiate|compute|analyze,instantiate -> compute -> analyze,3,63,43,20,0.682540,0.317460,2.095238,0.477273,correct
analyze|check-constraint,analyze -> check-constraint,2,61,48,13,0.786885,0.213115,3.500000,0.285714,correct
compute|conclude,compute -> conclude,2,61,44,17,0.721311,0.278689,2.500000,0.400000,correct
check-constraint|analyze,check-constraint -> analyze,2,61,43,18,0.704918,0.295082,2.315789,0.431818,correct
analyze|conclude,analyze -> conclude,2,61,43,18,0.704918,0.295082,2.315789,0.431818,correct
compute|analyze|instantiate|compute,compute -> analyze -> instantiate -> compute,4,55,36,19,0.654545,0.345455,1.850000,0.540541,correct
rewrite|analyze,rewrite -> analyze,2,54,39,15,0.722222,0.277778,2.500000,0.400000,correct
