motif,motif_len,support_total,support_correct,support_incorrect,support_rate,p_correct_given_motif,p_incorrect_given_motif,baseline_correct_rate,baseline_incorrect_rate,delta_correct_vs_baseline,lift_correct,lift_incorrect,log_odds_ratio,indicator_direction,indicator_strength
__BASELINE__,0,2339,1192,1147,1.0,0.5096194955109021,0.4903805044890979,0.5096194955109021,0.4903805044890979,0.0,1.0,1.0,0.0,baseline,0.0
case-split,1,214,61,153,0.09149209063702438,0.2850467289719626,0.7149532710280374,0.5096194955109021,0.4903805044890979,-0.22457276653893954,0.5593324656589098,1.4579561472838531,-1.043722758994345,failure,0.22457276653893954
compute analyze,2,105,30,75,0.04489097905087644,0.2857142857142857,0.7142857142857143,0.5096194955109021,0.4903805044890979,-0.22390520979661643,0.5606423777564716,1.4565948436916178,-0.9869864593009524,failure,0.22390520979661643
derive-intermediate compute compute,3,109,35,74,0.04660111158614793,0.3211009174311927,0.6788990825688074,0.5096194955109021,0.4903805044890979,-0.18851857807970945,0.6300797364694292,1.3844332642793726,-0.8166045975456973,failure,0.18851857807970945
compute check-constraint compute,3,104,35,69,0.04446344591705857,0.33653846153846156,0.6634615384615384,0.5096194955109021,0.4903805044890979,-0.17308103397244057,0.660372031491998,1.3529525182750988,-0.7424853762205543,failure,0.17308103397244057
conclude compute conclude,3,110,75,35,0.0470286447199658,0.6818181818181818,0.3181818181818182,0.5096194955109021,0.4903805044890979,0.17219868630727964,1.3378965832824892,0.6488467940080843,0.7501156473262803,success,0.17219868630727964
simplify conclude,2,277,188,89,0.11842667806755024,0.6787003610108303,0.3212996389891697,0.5096194955109021,0.4903805044890979,0.16908086549992818,1.3317786446345068,0.655204756404244,0.7972222879271866,success,0.16908086549992818
apply-formula derive-intermediate,2,155,53,102,0.06626763574176998,0.3419354838709677,0.6580645161290323,0.5096194955109021,0.4903805044890979,-0.1676840116399344,0.6709623295085515,1.341946733413955,-0.7362754744935527,failure,0.1676840116399344
rewrite simplify compute,3,109,38,71,0.04660111158614793,0.3486238532110092,0.6513761467889908,0.5096194955109021,0.4903805044890979,-0.16099564229989294,0.6840865710239518,1.3283075914031817,-0.6889915203963557,failure,0.16099564229989294
rewrite compute conclude,3,124,83,41,0.05301410859341599,0.6693548387096774,0.33064516129032256,0.5096194955109021,0.4903805044890979,0.15973534319877525,1.3134404091794758,0.674262451837894,0.6964456217386127,success,0.15973534319877525
instantiate analyze,2,120,42,78,0.051303976058144504,0.35,0.65,0.5096194955109021,0.4903805044890979,-0.15961949551090215,0.6867869127516778,1.3255013077593722,-0.6865999298109516,failure,0.15961949551090215
apply-formula rewrite compute,3,174,116,58,0.07439076528430953,0.6666666666666666,0.3333333333333333,0.5096194955109021,0.4903805044890979,0.1570471711557645,1.3081655480984338,0.6797442603894216,0.7008683563482012,success,0.1570471711557645
derive-intermediate compute,2,301,107,194,0.12868747327917915,0.3554817275747508,0.6445182724252492,0.5096194955109021,0.4903805044890979,-0.1541377679361513,0.6975434234877032,1.3143227891915064,-0.7225978797686563,failure,0.1541377679361513
rewrite derive-intermediate,2,169,111,58,0.07225309961522018,0.6568047337278107,0.3431952662721893,0.5096194955109021,0.4903805044890979,0.14718523821690854,1.288813986736031,0.6998550373240199,0.6523677456539236,success,0.14718523821690854
compute check-constraint,2,324,118,206,0.13852073535699017,0.36419753086419754,0.6358024691358025,0.5096194955109021,0.4903805044890979,-0.1454219646467046,0.714645993868589,1.2965492374094525,-0.6875238198112597,failure,0.1454219646467046
compare,1,192,70,122,0.08208636169303121,0.3645833333333333,0.6354166666666666,0.5096194955109021,0.4903805044890979,-0.14503616217756882,0.715403034116331,1.2957624963673349,-0.6428763622705328,failure,0.14503616217756882
