motif,motif_len,support_total,support_correct,support_incorrect,support_rate,p_correct_given_motif,p_incorrect_given_motif,baseline_correct_rate,baseline_incorrect_rate,delta_correct_vs_baseline,lift_correct,lift_incorrect,log_odds_ratio,indicator_direction,indicator_strength
__BASELINE__,0,2683,1233,1450,1.0,0.45956019381289603,0.540439806187104,0.45956019381289603,0.540439806187104,0.0,1.0,1.0,0.0,baseline,0.0
instantiate derive-intermediate,2,134,24,110,0.049944092433842714,0.1791044776119403,0.8208955223880597,0.45956019381289603,0.540439806187104,-0.2804557162009558,0.3897301812107346,1.5189397838394236,-1.403506775781194,failure,0.2804557162009558
instantiate compute instantiate,3,140,94,46,0.05218039508013418,0.6714285714285714,0.32857142857142857,0.45956019381289603,0.540439806187104,0.21186837761567534,1.4610242150388133,0.6079704433497537,0.918239319764946,success,0.21186837761567534
instantiate compute instantiate compute,4,113,72,41,0.04211703317182259,0.6371681415929203,0.36283185840707965,0.45956019381289603,0.540439806187104,0.1776079477800243,1.3864737420063302,0.6713640524870309,0.75141589296768,success,0.1776079477800243
analyze instantiate instantiate,3,157,100,57,0.05851658591129333,0.6369426751592356,0.3630573248407643,0.45956019381289603,0.540439806187104,0.1773824813463396,1.3859831285095128,0.6717812431363935,0.7648811566702447,success,0.1773824813463396
case-split,1,275,81,194,0.10249720462169214,0.29454545454545455,0.7054545454545454,0.45956019381289603,0.540439806187104,-0.16501473926744148,0.6409289980092899,1.3053341692789968,-0.7834325606988406,failure,0.16501473926744148
analyze apply-formula compute,3,103,64,39,0.038389862094670144,0.6213592233009708,0.3786407766990291,0.45956019381289603,0.540439806187104,0.16179902948807479,1.352073638375105,0.7006160026782725,0.6784412135639609,success,0.16179902948807479
apply_formula compute,2,208,62,146,0.07752515840477078,0.2980769230769231,0.7019230769230769,0.45956019381289603,0.540439806187104,-0.16148327073597296,0.6486134506207498,1.2987997347480105,-0.7443240250858333,failure,0.16148327073597296
instantiate simplify compute,3,124,77,47,0.04621692135669027,0.6209677419354839,0.3790322580645161,0.45956019381289603,0.540439806187104,0.16140754812258784,1.3512217774638307,0.7013403781979978,0.6831191394491491,success,0.16140754812258784
apply-formula simplify,2,174,108,66,0.06485277674245248,0.6206896551724138,0.3793103448275862,0.45956019381289603,0.540439806187104,0.16112946135951778,1.3506166624716838,0.7018549346016647,0.6966599075829354,success,0.16112946135951778
check_constraint,1,182,55,127,0.06783451360417443,0.3021978021978022,0.6978021978021978,0.45956019381289603,0.540439806187104,-0.15736239161509386,0.6575804568505298,1.291174687381584,-0.7156960445551218,failure,0.15736239161509386
compute apply-formula,2,268,165,103,0.09988818486768543,0.6156716417910447,0.3843283582089552,0.45956019381289603,0.540439806187104,0.1561114479781487,1.3396974979119,0.7111399897066393,0.7013948101356436,success,0.1561114479781487
apply-formula check-constraint,2,100,61,39,0.03727171077152441,0.61,0.39,0.45956019381289603,0.540439806187104,0.15043980618710395,1.3273560421735604,0.7216344827586207,0.6282512502785056,success,0.15043980618710395
apply-formula derive-intermediate,2,198,62,136,0.07379798732761834,0.31313131313131315,0.6868686868686869,0.45956019381289603,0.540439806187104,-0.14642888068158288,0.681371705702606,1.2709439219784047,-0.6659866716605731,failure,0.14642888068158288
derive_intermediate compute,2,119,72,47,0.04435333581811405,0.6050420168067226,0.3949579831932773,0.45956019381289603,0.540439806187104,0.14548182299382661,1.316567502913574,0.7308084613155607,0.612113694411507,success,0.14548182299382661
simplify conclude,2,134,81,53,0.049944092433842714,0.6044776119402985,0.39552238805970147,0.45956019381289603,0.540439806187104,0.14491741812740244,1.3153393615862292,0.7318528049408132,0.6136727965033069,success,0.14491741812740244
analyze instantiate apply-formula,3,155,49,106,0.05777115169586284,0.3161290322580645,0.6838709677419355,0.45956019381289603,0.540439806187104,-0.14343116155483154,0.6878947230724956,1.265397107897664,-0.6394708634647561,failure,0.14343116155483154
compute derive_intermediate,2,103,62,41,0.038389862094670144,0.6019417475728155,0.39805825242718446,0.45956019381289603,0.540439806187104,0.14238155375991945,1.3098213371758831,0.7365450284566455,0.5944231821120202,success,0.14238155375991945
check-constraint instantiate,2,110,35,75,0.04099888184867685,0.3181818181818182,0.6818181818181818,0.45956019381289603,0.540439806187104,-0.14137837563107786,0.6923615719236157,1.2615987460815046,-0.6168534332834188,failure,0.14137837563107786
