metric,value
input_path,tokenizer\expanded_pool_s100_seed73_qwen25_7b_hot30_tokenized_DeepSeek-V3.1_0.csv
parsed_rows,2339
skipped_rows,541
unique_questions_seen,96
min_class_size,2
per_question_permutations,2000
aggregate_permutations,5000
seed,73
include_missing_as_zero,False
n_valid_questions,57
weighted_mean_delta,-79.61088332113408
unweighted_mean_delta,-82.24399939743174
median_delta,-0.05000000000000071
questions_correct_longer,28
questions_incorrect_longer,29
questions_equal,0
fraction_correct_longer,0.49122807017543857
sign_test_two_sided_p,1.0
aggregate_permutation_two_sided_p,0.17616476704659068
