metric,value
input_path,tokenizer\clean_expanded_pool_s100_seed73_qwen25_7b_hot30_tokenized_gpt-oss-120b_0.csv
parsed_rows,2683
skipped_rows,0
unique_questions_seen,100
min_class_size,2
per_question_permutations,2000
aggregate_permutations,5000
seed,73
include_missing_as_zero,False
n_valid_questions,77
weighted_mean_delta,0.7131635386526195
unweighted_mean_delta,0.4883571858817258
median_delta,3.460000000000001
questions_correct_longer,62
questions_incorrect_longer,15
questions_equal,0
fraction_correct_longer,0.8051948051948052
sign_test_two_sided_p,6.083249930070788e-08
aggregate_permutation_two_sided_p,0.5670865826834633
