motif,motif_len,support_total,support_correct,support_incorrect,support_rate,p_correct_given_motif,p_incorrect_given_motif,baseline_correct_rate,baseline_incorrect_rate,delta_correct_vs_baseline,lift_correct,lift_incorrect,log_odds_ratio,indicator_direction,indicator_strength
__BASELINE__,0,2683,1233,1450,1.0,0.45956019381289603,0.540439806187104,0.45956019381289603,0.540439806187104,0.0,1.0,1.0,0.0,baseline,0.0
solve,1,92,92,0,0.03428997390980246,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,5.459920962669933,success,0.540439806187104
solve conclude,2,33,33,0,0.012299664554603056,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,4.393862807291117,success,0.540439806187104
solve compute,2,32,32,0,0.011926947446887812,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,4.362724818280572,success,0.540439806187104
simplify derive-intermediate compare,3,30,30,0,0.011181513231457324,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,4.297548210511644,success,0.540439806187104
compute solve,2,28,28,0,0.010436079016026835,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,4.228065173774783,success,0.540439806187104
simplify simplify isolate,3,27,27,0,0.01006336190831159,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,4.191517903728843,success,0.540439806187104
find_common_denominator add_fractions,2,26,26,0,0.009690644800596348,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,4.153648131586853,success,0.540439806187104
identify_parameters,1,26,26,0,0.009690644800596348,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,4.153648131586853,success,0.540439806187104
identify_parameters compute_sum,2,26,26,0,0.009690644800596348,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,4.153648131586853,success,0.540439806187104
find_common_denominator,1,26,26,0,0.009690644800596348,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,4.153648131586853,success,0.540439806187104
compute_sum,1,26,26,0,0.009690644800596348,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,4.153648131586853,success,0.540439806187104
add_fractions,1,26,26,0,0.009690644800596348,1.0,0.0,0.45956019381289603,0.540439806187104,0.540439806187104,2.175993511759935,0.0,4.153648131586853,success,0.540439806187104
