motif,length,success_count,failure_count,success_support,failure_support,support_difference,lift,log_odds_ratio,p_value,q_value,abs_support_difference,abs_log_odds_ratio
compute|compare,2,73,91,0.059205190592051905,0.06275862068965517,-0.003553430097603262,0.9433793955008258,-0.06078752770465094,0.7465665625098781,0.8778941209699843,0.003553430097603262,0.06078752770465094
instantiate|rewrite,2,199,192,0.16139497161394972,0.13241379310344828,0.028981178510501443,1.2188682660045214,0.23172039999185204,0.0369200050903664,0.11307666024044188,0.028981178510501443,0.23172039999185204
simplify|derive_intermediate|compute|simplify,4,5,8,0.0040551500405515,0.005517241379310344,-0.0014620913387588443,0.7349958116319686,-0.2747342648368247,0.7817983725986173,0.8983642128877717,0.0014620913387588443,0.2747342648368247
compute|check-constraint|rewrite|conclude,4,15,5,0.012165450121654502,0.0034482758620689655,0.008717174259585537,3.5279795121657473,1.2069266200779154,0.011737195102240191,0.05180079983098455,0.008717174259585537,1.2069266200779154
square|simplify|substitute,3,1,6,0.0008110300081103001,0.004137931034482759,-0.0033269010263724586,0.19599887126026194,-1.3076184548039824,0.13309952612208426,0.27847007187311085,0.0033269010263724586,1.3076184548039824
apply-formula|apply-formula|compute,3,106,127,0.08596918085969181,0.08758620689655172,-0.0016170260368599115,0.9815378804986079,-0.019694429158678514,0.8908293599886167,0.9936118687300871,0.0016170260368599115,0.019694429158678514
compare|derive-intermediate|compute,3,31,19,0.025141930251419302,0.01310344827586207,0.012038481975557232,1.91872610960027,0.6538932028201397,0.03066388195051408,0.10258904805521919,0.012038481975557232,0.6538932028201397
analyze|count_total|apply_formula|compute,4,0,12,0.0,0.008275862068965517,-0.008275862068965517,0.0,-3.0651305778460096,0.0006941159173242239,0.006724127107170807,0.008275862068965517,3.0651305778460096
instantiate|compare|simplify|compute,4,4,3,0.0032441200324412004,0.0020689655172413794,0.001175154515199821,1.5679905911511278,0.4145447760718092,0.7098446045335629,0.8534700340247532,0.001175154515199821,0.4145447760718092
check-constraint|derive-intermediate|instantiate,3,25,15,0.0202757502027575,0.010344827586206896,0.009930922616550604,1.9599889968009554,0.6699717276567605,0.03799326754655251,0.11613367278402373,0.009930922616550604,0.6699717276567605
simplify|derive-intermediate|derive-intermediate|compare,4,4,1,0.0032441200324412004,0.000689655172413793,0.002554464860027407,4.703967226287263,1.2632233753735724,0.18675610169904802,0.35990392271219973,0.002554464860027407,1.2632233753735724
case-split|check-constraint|case-split|guess,4,2,6,0.0016220600162206002,0.004137931034482759,-0.0025158710182621585,0.3919977425205239,-0.795981142681739,0.3011648560073913,0.4991070183367668,0.0025158710182621585,0.795981142681739
derive-intermediate|compute|apply-formula|instantiate,4,19,4,0.015409570154095702,0.002758620689655172,0.01265094946444053,5.585967155946599,1.6411514447673896,0.00046628175661866315,0.004880696400543434,0.01265094946444053,1.6411514447673896
analyze|compare|derive-intermediate|instantiate,4,1,7,0.0008110300081103001,0.004827586206896552,-0.004016556198786252,0.16799903830876134,-1.4514118192479557,0.07707774949364857,0.18628817462896466,0.004016556198786252,1.4514118192479557
apply_formula|instantiate|compute,3,60,63,0.04866180048661801,0.043448275862068966,0.005213524624549042,1.1199937949461127,0.11911628946766131,0.5186988519908384,0.703976831039762,0.005213524624549042,0.11911628946766131
check_constraint|instantiate|check_constraint,3,1,5,0.0008110300081103001,0.0034482758620689655,-0.0026372458539586654,0.23519863414438313,-1.1398723285907053,0.22741465931147953,0.4064189781194748,0.0026372458539586654,1.1398723285907053
compute|apply-formula|check-constraint|compute,4,37,20,0.030008110300081103,0.013793103448275862,0.01621500685180524,2.175587839025762,0.7825394519737396,0.0044752992624056895,0.027185977309749147,0.01621500685180524,0.7825394519737396
apply_formula|substitute|square|compute,4,0,5,0.0,0.0034482758620689655,-0.0034482758620689655,0.0,-2.239295647311381,0.06636588738781109,0.16727955416775503,0.0034482758620689655,2.239295647311381
compute|case-split|check-constraint|case-split,4,2,13,0.0016220600162206002,0.00896551724137931,-0.00734345722515871,0.18092205855252966,-1.531726398459316,0.016284214617238234,0.06654523300472609,0.00734345722515871,1.531726398459316
rewrite|check-constraint|derive-intermediate|check-constraint,4,1,4,0.0008110300081103001,0.002758620689655172,-0.001947590681544872,0.29399827136561046,-0.9385100701687651,0.3826959618809802,0.5741058477004546,0.001947590681544872,0.9385100701687651
rewrite|rewrite|compare|compare,4,4,6,0.0032441200324412004,0.004137931034482759,-0.0008938110020415583,0.7839954850410478,-0.20656912187527468,0.7614292828523561,0.8847104670790998,0.0008938110020415583,0.20656912187527468
rewrite|derive-intermediate|compute|check-constraint,4,12,11,0.009732360097323601,0.007586206896551724,0.002146153200771877,1.2829018437192317,0.2475978282934866,0.6753030204825666,0.843507256705844,0.002146153200771877,0.2475978282934866
