motif,length,success_count,failure_count,success_support,failure_support,support_difference,lift,log_odds_ratio,p_value,q_value,abs_support_difference,abs_log_odds_ratio
case-split|compute,2,32,121,0.025952960259529603,0.08344827586206896,-0.05749531560253936,0.31100654483767304,-1.2174420179383605,5.093393106693261e-11,3.37400911939095e-08,0.05749531560253936,1.2174420179383605
compute|apply_formula,2,40,128,0.032441200324412,0.08827586206896551,-0.05583466174455351,0.36749796826191683,-1.0519932122692115,1.1752704780962253e-09,3.6331528046214645e-07,0.05583466174455351,1.0519932122692115
analyze|derive-intermediate,2,148,255,0.12003244120032441,0.17586206896551723,-0.05582962776519282,0.6825374068658477,-0.446113653820972,5.808260358875057e-05,0.0009088718768538912,0.05582962776519282,0.446113653820972
case-split|compute|compute,3,19,98,0.015409570154095702,0.06758620689655172,-0.05217663674245601,0.2279987387024551,-1.5120198203299329,7.205069430361615e-12,5.895865932103554e-09,0.05217663674245601,1.5120198203299329
instantiate|derive-intermediate,2,133,222,0.10786699107866991,0.15310344827586206,-0.045236457197192145,0.7045366488400596,-0.4007963327712734,0.0005926625936371261,0.0060135152006462874,0.045236457197192145,0.4007963327712734
case-split|compute|compute|compute,4,9,76,0.0072992700729927005,0.05241379310344828,-0.04511452303045558,0.13926238689353887,-1.970441511012917,1.46353997367759e-12,1.5873575878495155e-09,0.04511452303045558,1.970441511012917
apply_formula|apply_formula,2,33,101,0.0267639902676399,0.0696551724137931,-0.0428911821461532,0.3842354983261028,-0.9915173428540698,2.7046398927208807e-07,1.1906406818873472e-05,0.0428911821461532,0.9915173428540698
apply_formula|compute,2,117,199,0.0948905109489051,0.13724137931034483,-0.042350868361439725,0.6914132656952923,-0.4152318631540881,0.0007479814799921112,0.0072008099433704216,0.042350868361439725,0.4152318631540881
compute|apply_formula|compute,3,32,99,0.025952960259529603,0.06827586206896552,-0.04232290180943592,0.3801191093449012,-1.0012732442888765,2.1977690302257135e-07,9.767784338488787e-06,0.04232290180943592,1.0012732442888765
apply_formula|compute|apply_formula,3,21,86,0.0170316301703163,0.05931034482758621,-0.04227871465726991,0.2871612015183127,-1.2739877614674617,8.441969153157643e-09,1.1983289070364895e-06,0.04227871465726991,1.2739877614674617
apply_formula|apply_formula|compute,3,20,81,0.016220600162206,0.05586206896551724,-0.03964146880331124,0.29036876313782706,-1.259241170565978,3.44695923074265e-08,2.2512042187258687e-06,0.03964146880331124,1.259241170565978
analyze|apply_formula|apply_formula,3,23,84,0.0186536901865369,0.057931034482758624,-0.03927734429622172,0.3219982178997749,-1.1585318842230055,9.879648584798577e-08,5.225695492894792e-06,0.03927734429622172,1.1585318842230055
analyze|compute|apply_formula,3,16,75,0.012976480129764802,0.05172413793103448,-0.03874765780126968,0.2508786109917997,-1.3987545499405598,1.0926544652088736e-08,1.2463647380195712e-06,0.03874765780126968,1.3987545499405598
analyze|apply_formula|compute|apply_formula,4,13,70,0.010543390105433901,0.04827586206896552,-0.03773247196353162,0.21839879051715586,-1.5297378828366448,4.2675453154816095e-09,8.361383504741503e-07,0.03773247196353162,1.5297378828366448
compute|apply_formula|compute|compute,4,17,71,0.013787510137875101,0.04896551724137931,-0.03517800710350421,0.2815759055159695,-1.28175333733673,1.678985166666424e-07,7.583234627758645e-06,0.03517800710350421,1.28175333733673
case-split|check-constraint,2,31,87,0.025141930251419302,0.06,-0.034858069748580696,0.419032163873119,-0.8959990472262543,1.0905252452388595e-05,0.00023125452266033194,0.034858069748580696,0.8959990472262543
case-split|compute|check-constraint,3,12,63,0.009732360097323601,0.043448275862068966,-0.03371591576474536,0.22399875898922256,-1.497887306667596,4.82800679536457e-08,3.1238326758286757e-06,0.03371591576474536,1.497887306667596
analyze|apply_formula|apply_formula|compute,4,14,65,0.0113544201135442,0.04482758620689655,-0.03347316609335235,0.25329090457488124,-1.3802813465676194,1.2509165423006525e-07,6.468959115220957e-06,0.03347316609335235,1.3802813465676194
instantiate|derive-intermediate|derive-intermediate,3,52,109,0.042173560421735604,0.07517241379310345,-0.03299885337136785,0.561024420165424,-0.6081078064202612,0.00031685377131321433,0.0036946796418592825,0.03299885337136785,0.6081078064202612
case-split|compute|check-constraint|compute,4,4,52,0.0032441200324412004,0.03586206896551724,-0.03261794893307604,0.09046103684367765,-2.3279431218355366,2.2629925818169742e-10,1.0785099845879374e-07,0.03261794893307604,2.3279431218355366
case-split|derive-intermediate,2,4,51,0.0032441200324412004,0.03517241379310345,-0.03192829376066225,0.09223478261371187,-2.3079969635941553,4.0872007291899115e-10,1.6244871241074532e-07,0.03192829376066225,2.3079969635941553
derive-intermediate|case-split,2,15,63,0.012165450121654502,0.043448275862068966,-0.031282825740414466,0.2799984487365282,-1.2803169094181164,7.583529209655285e-07,2.551435901703991e-05,0.031282825740414466,1.2803169094181164
check_constraint|compute,2,39,91,0.031630170316301706,0.06275862068965517,-0.03112845037335346,0.5039972112949618,-0.7106490030677383,0.000194539471691749,0.0024119773535685564,0.03112845037335346,0.7106490030677383
derive-intermediate|check-constraint,2,69,126,0.05596107055961071,0.08689655172413793,-0.030935481164527226,0.6439964395050848,-0.4701723362090999,0.0021747994677680637,0.015773532531867328,0.030935481164527226,0.4701723362090999
apply_formula|compute|compute,3,76,134,0.06163828061638281,0.09241379310344827,-0.030775512487065462,0.6669813875121796,-0.43555926523342875,0.0030875545609576702,0.02049187571444759,0.030775512487065462,0.43555926523342875
case-split|check-constraint|compute,3,6,51,0.004866180048661801,0.03517241379310345,-0.03030623374444165,0.1383521739205678,-1.9386441814812665,8.599949100805384e-09,1.2084231509222595e-06,0.03030623374444165,1.9386441814812665
analyze|case-split,2,56,109,0.0454176804541768,0.07517241379310345,-0.02975473333892665,0.6041801447935335,-0.5312890671290542,0.0015950150971588547,0.012614130197030601,0.02975473333892665,0.5312890671290542
compute|case-split,2,24,71,0.019464720194647202,0.04896551724137931,-0.02950079704673211,0.3975189254343099,-0.9395102685420217,3.4531915713358885e-05,0.0006027270758952766,0.02950079704673211,0.9395102685420217
apply_formula|apply_formula|compute|compute,4,14,59,0.0113544201135442,0.04068965517241379,-0.02933523505886959,0.27904930101724756,-1.2798862998150848,1.9929838101235026e-06,5.716370676830525e-05,0.02933523505886959,1.2798862998150848
apply_formula|compute|apply_formula|compute,4,20,66,0.016220600162206,0.04551724137931035,-0.029296641217104347,0.3563616624011256,-1.0449467440730855,1.3361332421175964e-05,0.0002761805279509344,0.029296641217104347,1.0449467440730855
compute|check_constraint,2,38,87,0.030819140308191405,0.06,-0.029180859691808593,0.5136523299089846,-0.6894901366825665,0.000318886971265178,0.003715273582303091,0.029180859691808593,0.6894901366825665
case-split|compute|compute|check-constraint,4,5,48,0.0040551500405515,0.03310344827586207,-0.02904829823531057,0.12249932044115959,-2.0443532602693946,1.0961061920359006e-08,1.2463647380195712e-06,0.02904829823531057,2.0443532602693946
compute|check-constraint|compute|compute,4,28,75,0.0227088402270884,0.05172413793103448,-0.02901529770394608,0.4390375692356494,-0.8423056862369707,0.00010776410728242457,0.00151119606492521,0.02901529770394608,0.8423056862369707
compute|compute|apply_formula,3,21,66,0.0170316301703163,0.04551724137931035,-0.028485611208994045,0.3741797455211819,-0.9964942927288131,2.5600418241951047e-05,0.00046982508992583245,0.028485611208994045,0.9964942927288131
analyze|case-split|compute,3,22,67,0.017842660178426603,0.046206896551724136,-0.028364236373297533,0.38614711490754117,-0.9658550296977096,3.2682236883713244e-05,0.0005725977295835453,0.028364236373297533,0.9658550296977096
compute|case-split|compute,3,11,54,0.008921330089213302,0.037241379310344824,-0.028320049221131523,0.23955422744454924,-1.4227825022637897,8.906279787213254e-07,2.881285072556362e-05,0.028320049221131523,1.4227825022637897
analyze|apply-formula|apply-formula|derive-intermediate,4,23,68,0.0186536901865369,0.04689655172413793,-0.02824286153760103,0.39776250284886583,-0.9369733670996897,6.0089482052777754e-05,0.0009392188593665071,0.02824286153760103,0.9369733670996897
case-split|check-constraint|compute|compute,4,1,42,0.0008110300081103001,0.028965517241379312,-0.02815448723326901,0.027999844551432392,-3.2105582864226245,1.4078875762850316e-10,7.253749656926323e-08,0.02815448723326901,3.2105582864226245
analyze|apply-formula|derive-intermediate,3,99,156,0.08029197080291971,0.10758620689655173,-0.02729423609363202,0.746303567833932,-0.32096587084396505,0.017360859013287162,0.06841472974927405,0.02729423609363202,0.32096587084396505
compute|check_constraint|compute,3,25,68,0.0202757502027575,0.04689655172413793,-0.02662080152138043,0.43235054657485417,-0.853641759850847,0.00017917270444345914,0.0024035404932622566,0.02662080152138043,0.853641759850847
check-constraint|compute|compute,3,67,117,0.054339010543390104,0.08068965517241379,-0.026350644629023687,0.6734321736020428,-0.4205114835451453,0.0072720700538146076,0.03914929044838042,0.026350644629023687,0.4205114835451453
apply-formula|apply-formula|derive-intermediate,3,40,85,0.032441200324412,0.05862068965517241,-0.026179489330760412,0.5534087019759386,-0.612583906695346,0.00126606608527938,0.010779286375602524,0.026179489330760412,0.612583906695346
derive-intermediate|simplify,2,97,152,0.0786699107866991,0.10482758620689656,-0.02615767542019745,0.7504695365298215,-0.31405583023345957,0.023072483930392303,0.08274856917127649,0.02615767542019745,0.31405583023345957
compute|compute|apply_formula|compute,4,18,59,0.014598540145985401,0.04068965517241379,-0.02609111502642839,0.35877767273646116,-1.0329787932575374,3.985453036255883e-05,0.0006537928913603253,0.02609111502642839,1.0329787932575374
analyze|case-split|compute|check-constraint,4,11,50,0.008921330089213302,0.034482758620689655,-0.025561428531476353,0.2587185650843474,-1.3436949275609738,5.878860019005518e-06,0.0001455174763779106,0.025561428531476353,1.3436949275609738
compute|check-constraint|compute|check-constraint,4,17,57,0.013787510137875101,0.039310344827586205,-0.025522834689711102,0.35073489809391745,-1.0537433821754107,4.501798861417733e-05,0.0007333082431051767,0.025522834689711102,1.0537433821754107
analyze|check_constraint,2,23,64,0.0186536901865369,0.044137931034482755,-0.025484240847945854,0.4226226587136821,-0.873915713973894,0.00017667813793288383,0.002374656595926905,0.025484240847945854,0.873915713973894
check_constraint|compute|conclude,3,13,52,0.010543390105433901,0.03586206896551724,-0.02531867886008334,0.2939983697419523,-1.2219838613441945,1.308108991226127e-05,0.0002715985698051739,0.02531867886008334,1.2219838613441945
apply_formula|check_constraint,2,13,52,0.010543390105433901,0.03586206896551724,-0.02531867886008334,0.2939983697419523,-1.2219838613441945,1.308108991226127e-05,0.0002715985698051739,0.02531867886008334,1.2219838613441945
analyze|apply_formula|compute,3,93,146,0.07542579075425791,0.1006896551724138,-0.025263864418155882,0.7490917500513078,-0.3147109293101402,0.024695654172672468,0.0879972451834136,0.025263864418155882,0.3147109293101402
analyze|instantiate|derive-intermediate|derive-intermediate,4,31,73,0.025141930251419302,0.0503448275862069,-0.025202897334787595,0.4993944950744653,-0.7114303213400502,0.0008493138014774527,0.00792408067897575,0.025202897334787595,0.7114303213400502
analyze|case-split|compute|compute,4,10,48,0.008110300081103,0.03310344827586207,-0.02499314819475907,0.24499864088231918,-1.393647786265835,6.174569792879448e-06,0.0001520255582101699,0.02499314819475907,1.393647786265835
analyze|compute|analyze,3,56,102,0.0454176804541768,0.0703448275862069,-0.0249271471320301,0.645643487474248,-0.4600228437368557,0.006544332900932773,0.03561745500190759,0.0249271471320301,0.4600228437368557
compute|compute|check_constraint|compute,4,6,43,0.004866180048661801,0.029655172413793104,-0.024788992365131303,0.16409211238665228,-1.7641232608478772,6.540072359984871e-07,2.350877173120143e-05,0.024788992365131303,1.7641232608478772
instantiate|compute|apply_formula,3,24,64,0.019464720194647202,0.044137931034482755,-0.024673210839835553,0.4409975569186248,-0.8314165712452947,0.00030343347494436,0.0035711193485202983,0.024673210839835553,0.8314165712452947
compute|apply_formula|apply_formula,3,7,44,0.0056772100567721,0.030344827586206897,-0.024667617529434797,0.18708987070543712,-1.6436464043985624,1.2493914361213456e-06,3.853721567158324e-05,0.024667617529434797,1.6436464043985624
analyze|derive-intermediate|instantiate,3,42,85,0.0340632603406326,0.05862068965517241,-0.02455742931453981,0.5810791370747356,-0.5627046556373805,0.0033670899237323135,0.02223046413338406,0.02455742931453981,0.5627046556373805
analyze|compute|apply_formula|compute,4,13,49,0.010543390105433901,0.03379310344827586,-0.023249713342841958,0.31199826939758507,-1.1610005033584325,4.788425354852203e-05,0.0007763611318339044,0.023249713342841958,1.1610005033584325
check_constraint|compute|compute,3,19,56,0.015409570154095702,0.038620689655172416,-0.023211119501076714,0.3989977883016424,-0.9256227139573778,0.00023675496104569684,0.0028614233389284874,0.023211119501076714,0.9256227139573778
instantiate|check-constraint|derive-intermediate,3,8,43,0.006488240064882401,0.029655172413793104,-0.023166932348910704,0.21878948318220304,-1.4942286175526895,6.078232857716845e-06,0.0001499189668150692,0.023166932348910704,1.4942286175526895
analyze|apply_formula|apply_formula|apply_formula,4,3,37,0.0024330900243309003,0.025517241379310347,-0.023084151354979446,0.09535082154111119,-2.2329296571784627,1.567179041913888e-07,7.3556222310306094e-06,0.023084151354979446,2.2329296571784627
analyze|case-split|check-constraint|compute,4,4,38,0.0032441200324412004,0.02620689655172414,-0.02296277651928294,0.12378878598805265,-2.0078272431531157,4.1741698227958027e-07,1.6219797878467155e-05,0.02296277651928294,2.0078272431531157
analyze|instantiate|derive-intermediate,3,95,145,0.0770478507704785,0.1,-0.022952149229521504,0.7704785,-0.2841753364894735,0.041626483539279766,0.12504124649426057,0.022952149229521504,0.2841753364894735
check-constraint|compute|compute|compute,4,28,66,0.0227088402270884,0.04551724137931035,-0.022808401152221946,0.49890632736157586,-0.7088532153974128,0.001464743804866529,0.011775750557082935,0.022808401152221946,0.7088532153974128
case-split|check-constraint|compute|check-constraint,4,1,34,0.0008110300081103001,0.023448275862068966,-0.022637245853958664,0.034588042988449204,-2.9963498025754234,1.2578895072826746e-08,1.2463647380195712e-06,0.022637245853958664,2.9963498025754234
compute|count,2,1,34,0.0008110300081103001,0.023448275862068966,-0.022637245853958664,0.034588042988449204,-2.9963498025754234,1.2578895072826746e-08,1.2463647380195712e-06,0.022637245853958664,2.9963498025754234
analyze|instantiate|compute|apply_formula,4,8,42,0.006488240064882401,0.028965517241379312,-0.02247727717649691,0.22399875641145914,-1.4702615280858402,9.916200886955543e-06,0.00021222195467452085,0.02247727717649691,1.4702615280858402
derive-intermediate|derive-intermediate|check-constraint,3,21,57,0.0170316301703163,0.039310344827586205,-0.022278714657269903,0.4332607564689569,-0.8445977885593232,0.000725969352911674,0.00701316643635715,0.022278714657269903,0.8445977885593232
apply_formula|check_constraint|compute,3,10,44,0.008110300081103,0.030344827586206897,-0.022234527505103897,0.26727124386491014,-1.3047251869615317,2.567193827299752e-05,0.00046989780699430064,0.022234527505103897,1.3047251869615317
backtrack|compute,2,10,44,0.008110300081103,0.030344827586206897,-0.022234527505103897,0.26727124386491014,-1.3047251869615317,2.567193827299752e-05,0.00046989780699430064,0.022234527505103897,1.3047251869615317
apply_formula|apply_formula|apply_formula,3,5,38,0.0040551500405515,0.02620689655172414,-0.02215174651117264,0.1547359824850658,-1.8063428779959512,1.666567071341864e-06,4.9749110271873475e-05,0.02215174651117264,1.8063428779959512
analyze|case-split|check-constraint,3,26,62,0.021086780210867802,0.04275862068965517,-0.02167184047878737,0.49315855791416785,-0.7183499025300528,0.0015616535102258525,0.012357316257538017,0.02167184047878737,0.7183499025300528
analyze|analyze|analyze,3,84,130,0.0681265206812652,0.0896551724137931,-0.021528651732527895,0.759872722200147,-0.29593830486566924,0.04513086764294066,0.13236675095529146,0.021528651732527895,0.29593830486566924
compute|check_constraint|compute|compute,4,11,44,0.008921330089213302,0.030344827586206897,-0.021423497496993595,0.2939983682514012,-1.2129357472221056,9.16559084643835e-05,0.0013240138552939138,0.021423497496993595,1.2129357472221056
compute|analyze,2,114,165,0.09245742092457421,0.11379310344827587,-0.02133568252370166,0.8125046009848541,-0.2301307811556885,0.07564260822359467,0.18628817462896466,0.02133568252370166,0.2301307811556885
check_constraint|apply_formula,2,12,45,0.009732360097323601,0.03103448275862069,-0.021302122661297086,0.3135982596978166,-1.1516701819998578,0.00012587544951066305,0.0017300743726538464,0.021302122661297086,1.1516701819998578
simplify|apply_formula,2,41,79,0.0332522303325223,0.05448275862068966,-0.021230528288167357,0.6103257354074053,-0.5102105068084719,0.008550895812509784,0.042446064789285094,0.021230528288167357,0.5102105068084719
compare|instantiate,2,13,46,0.010543390105433901,0.031724137931034485,-0.021180747825600584,0.3323459819777713,-1.096341870437643,0.0001701331183145392,0.002288899234887384,0.021180747825600584,1.096341870437643
apply_formula|compute|simplify,3,19,53,0.015409570154095702,0.036551724137931035,-0.021142153983835333,0.42158256815366124,-0.8689147317452327,0.0007067628390951255,0.006837119509493944,0.021142153983835333,0.8689147317452327
compute|apply_formula|simplify,3,9,41,0.0072992700729927005,0.028275862068965516,-0.020976591995972814,0.2581449080860805,-1.3336991944682126,4.132585399703123e-05,0.0006771306889902254,0.020976591995972814,1.3336991944682126
apply_formula|compute|check_constraint,3,15,48,0.012165450121654502,0.03310344827586207,-0.02093799815420757,0.36749796132347884,-1.0000880096866462,0.00029702851950530115,0.0035046342110587312,0.02093799815420757,1.0000880096866462
check-constraint|apply-formula|compute|conclude,4,15,48,0.012165450121654502,0.03310344827586207,-0.02093799815420757,0.36749796132347884,-1.0000880096866462,0.00029702851950530115,0.0035046342110587312,0.02093799815420757,1.0000880096866462
check-constraint|derive-intermediate|apply-formula,3,21,55,0.0170316301703163,0.03793103448275862,-0.02089940431244232,0.4490156926524706,-0.8077616554540332,0.0010271730476855952,0.009060877784625438,0.02089940431244232,0.8077616554540332
compute|check_constraint|compute|conclude,4,10,42,0.008110300081103,0.028965517241379312,-0.020855217160276312,0.2799984455143239,-1.2573191143331925,6.301768669744868e-05,0.0009783917853216615,0.020855217160276312,1.2573191143331925
apply_formula|simplify|apply_formula,3,10,42,0.008110300081103,0.028965517241379312,-0.020855217160276312,0.2799984455143239,-1.2573191143331925,6.301768669744868e-05,0.0009783917853216615,0.020855217160276312,1.2573191143331925
simplify|simplify|simplify|compute,4,28,63,0.0227088402270884,0.043448275862068966,-0.020739435634980565,0.5226637709748526,-0.6605266706246773,0.0036473415801662953,0.02383192518632848,0.020739435634980565,0.6605266706246773
analyze|apply-formula|apply-formula,3,102,150,0.0827250608272506,0.10344827586206896,-0.02072321503481836,0.7996755802665586,-0.24489566579535332,0.0729356406673262,0.18291106856375966,0.02072321503481836,0.24489566579535332
compute|simplify|apply_formula,3,7,38,0.0056772100567721,0.02620689655172414,-0.02052968649495204,0.2166303754790921,-1.4945586214294218,2.6420132681450334e-05,0.00048043198134856943,0.02052968649495204,1.4945586214294218
instantiate|derive-intermediate|check-constraint,3,14,46,0.0113544201135442,0.031724137931034485,-0.020369717817490286,0.35791105751452296,-1.0240632342784584,0.0003382330889470942,0.003924237281353651,0.020369717817490286,1.0240632342784584
instantiate|apply_formula|apply_formula,3,14,46,0.0113544201135442,0.031724137931034485,-0.020369717817490286,0.35791105751452296,-1.0240632342784584,0.0003382330889470942,0.003924237281353651,0.020369717817490286,1.0240632342784584
apply_formula|substitute,2,3,33,0.0024330900243309003,0.022758620689655173,-0.020325530665324273,0.10690849637159047,-2.1173083045648564,1.601516852998149e-06,4.864345183855296e-05,0.020325530665324273,2.1173083045648564
analyze|derive-intermediate|derive-intermediate,3,83,127,0.06731549067315491,0.08758620689655172,-0.02027071622339681,0.7685626800130609,-0.28318662054993554,0.05187351850779516,0.14657983261465335,0.02027071622339681,0.28318662054993554
analyze|instantiate|derive-intermediate|apply-formula,4,21,54,0.0170316301703163,0.037241379310344824,-0.020209749140028523,0.45733079784868486,-0.7888630039619883,0.0014386041817607913,0.011688942105042767,0.020209749140028523,0.7888630039619883
guess|compute,2,16,48,0.012976480129764802,0.03310344827586207,-0.020126968146097268,0.39199782541171074,-0.9367466345967961,0.0005596509149917611,0.0057432027961858215,0.020126968146097268,0.9367466345967961
compute|apply_formula|instantiate,3,5,35,0.0040551500405515,0.02413793103448276,-0.020082780993931258,0.16799906614860083,-1.7230956916522242,8.05525760388565e-06,0.0001799587571129267,0.020082780993931258,1.7230956916522242
instantiate|check-constraint|instantiate|check-constraint,4,11,42,0.008921330089213302,0.028965517241379312,-0.02004418715216601,0.30799829006575635,-1.1655296745937664,0.00014290610092990304,0.0019451729648100598,0.02004418715216601,1.1655296745937664
case-split|derive-intermediate|derive-intermediate,3,1,30,0.0008110300081103001,0.020689655172413793,-0.01987862516430349,0.03919978183067505,-2.870297280127804,1.446077333889369e-07,7.3556222310306094e-06,0.01987862516430349,2.870297280127804
compute|compute|count,3,1,30,0.0008110300081103001,0.020689655172413793,-0.01987862516430349,0.03919978183067505,-2.870297280127804,1.446077333889369e-07,7.3556222310306094e-06,0.01987862516430349,2.870297280127804
analyze|analyze|analyze|instantiate,4,30,64,0.024330900243309004,0.044137931034482755,-0.01980703079117375,0.5512469461482811,-0.6073899323556547,0.005951382001022726,0.03268443545843945,0.01980703079117375,0.6073899323556547
