motif,length,success_count,failure_count,success_support,failure_support,support_difference,lift,log_odds_ratio,p_value,q_value,abs_support_difference,abs_log_odds_ratio
instantiate|compute,2,632,545,0.5125709651257097,0.3758620689655172,0.13670889616019244,1.3637209127612544,0.5570381572372844,1.1521145538512994e-12,1.457005959875039e-09,0.13670889616019244,0.5570381572372844
analyze|instantiate|compute,3,450,358,0.36496350364963503,0.24689655172413794,0.1180669519254971,1.4782041289066334,0.5608822821823873,4.05391830083112e-11,2.8197028741430855e-08,0.1180669519254971,0.5608822821823873
compute|apply-formula,2,281,180,0.2278994322789943,0.12413793103448276,0.10376150124451156,1.8358565230141655,0.7324773655661722,1.4834051212740783e-12,1.5873575878495155e-09,0.10376150124451156,0.7324773655661722
instantiate|compute|compute,3,438,366,0.35523114355231145,0.2524137931034483,0.10281735044886314,1.4073364921044087,0.48926477297461907,8.405706696970319e-09,1.1983289070364895e-06,0.10281735044886314,0.48926477297461907
instantiate|compute|apply-formula,3,180,75,0.145985401459854,0.05172413793103448,0.09426126352881953,2.822384373657746,1.1382974686383422,7.768857075502459e-17,3.60241902591049e-13,0.09426126352881953,1.1382974686383422
instantiate|simplify,2,324,245,0.26277372262773724,0.16896551724137931,0.09380820538635792,1.5551914104293527,0.5607432885726182,3.796369313967177e-09,7.544470503799629e-07,0.09380820538635792,0.5607432885726182
analyze|instantiate,2,687,677,0.5571776155717761,0.4668965517241379,0.09028106384763823,1.1933641666893609,0.36204363918339794,3.3067284879327355e-06,8.963384721215688e-05,0.09028106384763823,0.36204363918339794
instantiate|instantiate|compute,3,275,193,0.22303325223033252,0.13310344827586207,0.08992980395447045,1.6756384109031424,0.6248214556113277,1.0807992669837377e-09,3.4170451370479034e-07,0.08992980395447045,0.6248214556113277
analyze|instantiate|compute|compute,4,307,233,0.24898621248986214,0.1606896551724138,0.08829655731744834,1.5494850037062096,0.548433819368951,1.4625967047251575e-08,1.2463647380195712e-06,0.08829655731744834,0.548433819368951
instantiate|compute|instantiate,3,247,165,0.2003244120032441,0.11379310344827587,0.08653130855496824,1.7604266354671838,0.6671790884349015,7.389805229709111e-10,2.3906879197786845e-07,0.08653130855496824,0.6671790884349015
compute|instantiate,2,334,268,0.2708840227088402,0.18482758620689654,0.08605643650194367,1.4656038462787042,0.49333303259486405,1.1401040147795697e-07,5.962401108871652e-06,0.08605643650194367,0.49333303259486405
instantiate|compute|instantiate|compute,4,224,141,0.1816707218167072,0.09724137931034482,0.08442934250636239,1.868244992377803,0.7217662162938909,2.723120529797369e-10,1.18379155281285e-07,0.08442934250636239,0.7217662162938909
analyze|instantiate|simplify,3,215,133,0.17437145174371452,0.09172413793103448,0.08264731381268003,1.9010421223449245,0.736264476452155,2.51623922973034e-10,1.1291420620896374e-07,0.08264731381268003,0.736264476452155
apply-formula|compute,2,450,411,0.36496350364963503,0.28344827586206894,0.08151522778756609,1.2875841324208608,0.3732731024332603,7.314476707520119e-06,0.00017788756202502166,0.08151522778756609,0.3732731024332603
compute|instantiate|compute,3,290,224,0.23519870235198703,0.15448275862068966,0.08071594373129737,1.5224915901909302,0.520051367999596,1.3113262694941107e-07,6.756244346271324e-06,0.08071594373129737,0.520051367999596
instantiate|instantiate,2,354,309,0.2871046228710462,0.21310344827586206,0.07400117459518415,1.3472546964708665,0.39649515563976867,1.0566023004828088e-05,0.00022578179112160295,0.07400117459518415,0.39649515563976867
simplify|conclude,2,208,138,0.16869424168694241,0.09517241379310344,0.07352182789383897,1.7725119411298855,0.6558221325648066,1.7520282586629672e-08,1.4007163854172722e-06,0.07352182789383897,0.6558221325648066
analyze|instantiate|instantiate|compute,4,213,144,0.17274939172749393,0.0993103448275862,0.07343904689990773,1.7394903852958692,0.6374164278269601,2.7383323261546157e-08,2.0977873302412e-06,0.07343904689990773,0.6374164278269601
analyze|instantiate|compute|apply-formula,4,131,49,0.10624493106244931,0.03379310344827586,0.07245182761417346,3.1439825608525878,1.2169969453270166,5.536266241186595e-14,9.62687496014334e-11,0.07245182761417346,1.2169969453270166
analyze|compute|apply-formula,3,155,78,0.12570965125709652,0.05379310344827586,0.07191654780882065,2.336910140182952,0.9246098143854008,5.754399992146867e-11,3.638611740488867e-08,0.07191654780882065,0.9246098143854008
compute|instantiate|apply-formula,3,136,56,0.11030008110300081,0.038620689655172416,0.0716793914478284,2.8559841688959664,1.1215850385908364,6.125823964744326e-13,8.521633717355831e-10,0.0716793914478284,1.1215850385908364
analyze|compute|compute,3,389,355,0.31549067315490675,0.24482758620689654,0.07066308694801021,1.2886238710031273,0.35156003885517384,4.7541897166684854e-05,0.0007717098383731074,0.07066308694801021,0.35156003885517384
analyze|compute,2,535,530,0.43390105433901055,0.36551724137931035,0.0683838129597002,1.1870877869250716,0.2853627538098817,0.00031601073596406365,0.003687940728184639,0.0683838129597002,0.2853627538098817
compute|apply-formula|compute,3,191,128,0.1549067315490673,0.08827586206896551,0.0666308694801018,1.754802798450653,0.636861114344924,1.217153417431112e-07,6.341506063627041e-06,0.0666308694801018,0.636861114344924
apply-formula|instantiate|compute,3,220,165,0.17842660178426603,0.11379310344827587,0.06463349833599016,1.567991335233929,0.5246645608836725,2.4523720902174e-06,6.7958064037877e-05,0.06463349833599016,0.5246645608836725
instantiate|compute|compute|compute,4,279,235,0.22627737226277372,0.16206896551724137,0.06420840674553235,1.3961795223683473,0.41301452972905733,2.8042641610320276e-05,0.0005090340800515015,0.06420840674553235,0.41301452972905733
instantiate|compute|apply-formula|compute,4,130,60,0.10543390105433902,0.041379310344827586,0.06405459070951143,2.547985880570201,0.9999063097031808,1.2006962087258527e-10,7.213549978350628e-08,0.06405459070951143,0.9999063097031808
compute|compute|apply-formula,3,161,97,0.1305758313057583,0.06689655172413793,0.06367927958162038,1.9519067274544826,0.7373542229110935,2.7457184283457423e-08,2.0977873302412e-06,0.06367927958162038,0.7373542229110935
instantiate|compute|rewrite,3,118,47,0.09570154095701541,0.032413793103448274,0.06328774785356714,2.952494257586291,1.1438496314639406,8.842166900143549e-12,6.833521319327607e-09,0.06328774785356714,1.1438496314639406
analyze|instantiate|compute|instantiate,4,188,133,0.15247364152473641,0.09172413793103448,0.06074950359370193,1.6623066000039342,0.5762372905945903,1.6312030825663594e-06,4.943718100562228e-05,0.06074950359370193,0.5762372905945903
analyze|simplify,2,213,163,0.17274939172749393,0.11241379310344828,0.06033559862404565,1.536727704150988,0.4992334926193628,7.744519404174395e-06,0.0001799587571129267,0.06033559862404565,0.4992334926193628
apply-formula|simplify,2,256,218,0.20762368207623683,0.1503448275862069,0.05727885449002992,1.3809831972849438,0.39214426413250364,0.00011220532070907978,0.0015718914565800693,0.05727885449002992,0.39214426413250364
instantiate|compute|instantiate|apply-formula,4,96,30,0.07785888077858881,0.020689655172413793,0.05716922560617502,3.763179055744805,1.3739923752007115,2.792028995309838e-12,2.5893276902503438e-09,0.05716922560617502,1.3739923752007115
analyze|instantiate|instantiate,3,286,254,0.23195458231954583,0.17517241379310344,0.056782168526442384,1.3241501670996996,0.3517666705560634,0.00028713888879433125,0.0034140077624084976,0.056782168526442384,0.3517666705560634
compute|conclude,2,693,735,0.5620437956204379,0.506896551724138,0.05514724389629999,1.1087938803290938,0.2216876616306368,0.004597756564716422,0.027242734762144713,0.05514724389629999,0.2216876616306368
compute|instantiate|compute|compute,4,184,139,0.1492295214922952,0.09586206896551724,0.053367452526777964,1.5567108194719235,0.5024425222654022,2.9108412680014886e-05,0.0005147399048841905,0.053367452526777964,0.5024425222654022
analyze|compute|instantiate,3,172,126,0.13949716139497162,0.08689655172413793,0.05260060967083369,1.6053244578967332,0.5315069558726532,1.9588478033450216e-05,0.0003651408673277947,0.05260060967083369,0.5315069558726532
instantiate|compute|compute|apply-formula,4,103,45,0.08353609083536091,0.03103448275862069,0.052501608076740224,2.6917183957395925,1.0395923853770812,2.7545141036852215e-09,6.579276803170411e-07,0.052501608076740224,1.0395923853770812
compute|instantiate|apply-formula|compute,4,108,51,0.08759124087591241,0.03517241379310345,0.05241882708280896,2.4903391305702205,0.9630560139195452,9.861898812174257e-09,1.2463647380195712e-06,0.05241882708280896,0.9630560139195452
rewrite|instantiate|compute,3,114,59,0.09245742092457421,0.04068965517241379,0.05176776575216042,2.2722585939975875,0.8720986553698463,5.878869791008904e-08,3.7861554473483733e-06,0.05176776575216042,0.8720986553698463
rewrite|simplify,2,184,142,0.1492295214922952,0.09793103448275862,0.051298487009536584,1.5238225630583473,0.47887504648138957,5.391460788375803e-05,0.0008591135283745223,0.051298487009536584,0.47887504648138957
