motif,length,success_count,failure_count,success_support,failure_support,support_difference,lift,log_odds_ratio,p_value,antecedent,consequent,antecedent_len,consequent_len,success_confidence,failure_confidence,success_rule_lift,failure_rule_lift,confidence_difference,q_value,abs_support_difference,abs_log_odds_ratio
compute => conclude,2,76,20,0.8085106382978723,0.625,0.18351063829787229,1.2936170192068084,0.924823766912104,0.05301191521638727,compute,conclude,1,1,0.9743589743589743,0.7692307692307693,0.9955406901756823,0.9467455609649523,0.20512820512820507,0.11031629320333222,0.18351063829787229,0.924823766912104
compute => compute|conclude,3,57,20,0.6063829787234043,0.625,-0.018617021276595702,0.9702127644051065,-0.06725222700916733,1.0,compute,compute|conclude,1,2,0.7307692307692307,0.7692307692307693,0.9038461527282389,1.2307692288,-0.03846153846153855,1.0,0.018617021276595702,0.06725222700916733
compute => apply-formula,2,16,15,0.1702127659574468,0.46875,-0.29853723404255317,0.36312056660122927,-1.4383773868775602,0.0015648278791815305,compute,apply-formula,1,1,0.20512820512820512,0.5769230769230769,0.29215229173619645,0.8026755841675148,-0.37179487179487175,0.005664236126051456,0.29853723404255317,1.4383773868775602
compute => rewrite,2,17,21,0.18085106382978725,0.65625,-0.4753989361702128,0.2755825730349786,-2.1137829551942455,1.2436008690708157e-06,compute,rewrite,1,1,0.21794871794871795,0.8076923076923077,0.34724032973794744,0.8912466833666881,-0.5897435897435898,1.030985236616773e-05,0.4753989361702128,2.1137829551942455
compute => apply-formula|conclude,3,16,13,0.1702127659574468,0.40625,-0.2360372340425532,0.41898526901775146,-1.1920134637565103,0.013390649764438236,compute,apply-formula|conclude,1,2,0.20512820512820512,0.5,0.29664694237179184,0.8421052617396122,-0.2948717948717949,0.03325021245855678,0.2360372340425532,1.1920134637565103
compute => rewrite|conclude,3,17,17,0.18085106382978725,0.53125,-0.3503989361702128,0.34042553127409264,-1.6094379124341005,0.0003526381138029667,compute,rewrite|conclude,1,2,0.21794871794871795,0.6538461538461539,0.34724032973794744,0.8369230758518155,-0.4358974358974359,0.001618357057988615,0.3503989361702128,1.6094379124341005
compute => compute|compute,3,40,25,0.425531914893617,0.78125,-0.355718085106383,0.5446808503666383,-1.5206741591788207,0.0005095571941114072,compute,compute|compute,1,2,0.5128205128205128,0.9615384615384616,0.831122898741425,1.1834319512061904,-0.4487179487179488,0.0021826033147771943,0.355718085106383,1.5206741591788207
compute => compute|compute|conclude,4,39,20,0.4148936170212766,0.625,-0.21010638297872342,0.6638297861719149,-0.8347785906814198,0.04340001700628987,compute,compute|compute|conclude,1,3,0.5,0.7692307692307693,0.8245614021489689,1.2307692288,-0.2692307692307693,0.0914246259886598,0.21010638297872342,0.8347785906814198
compute => simplify,2,33,7,0.35106382978723405,0.21875,0.13231382978723405,1.6048632145479809,0.6162836956406642,0.19248647315301137,compute,simplify,1,1,0.4230769230769231,0.2692307692307692,0.6856763914616757,0.7832167809383342,0.15384615384615385,0.30454052780006885,0.13231382978723405,0.6162836956406642
compute => apply-formula|compute,3,14,15,0.14893617021276595,0.46875,-0.31981382978723405,0.3177304957760756,-1.5927476779937215,0.00048284304018144807,compute,apply-formula|compute,1,2,0.1794871794871795,0.5769230769230769,0.337435896801518,1.0859728486345488,-0.39743589743589736,0.002143434670854555,0.31981382978723405,1.5927476779937215
compute => simplify|conclude,3,33,4,0.35106382978723405,0.125,0.22606382978723405,2.8085106158297877,1.2383349545168794,0.014671847484820226,compute,simplify|conclude,1,2,0.4230769230769231,0.15384615384615385,0.6856763914616757,0.6153846129230769,0.2692307692307692,0.03507595166138417,0.22606382978723405,1.2383349545168794
compute => rewrite|compute,3,10,21,0.10638297872340426,0.65625,-0.5498670212765957,0.16210739590292855,-2.711082176964063,4.4343958081185674e-09,compute,rewrite|compute,1,2,0.1282051282051282,0.8076923076923077,0.2869352862930984,1.123745817834521,-0.6794871794871795,7.352514339912721e-08,0.5498670212765957,2.711082176964063
compute => compute|compute|compute,4,25,24,0.26595744680851063,0.75,-0.48404255319148937,0.35460992860520096,-2.0612552544607765,2.0006090503233434e-06,compute,compute|compute|compute,1,3,0.32051282051282054,0.9230769230769231,0.7532051264350962,1.1815384600260923,-0.6025641025641026,1.5820200797941514e-05,0.48404255319148937,2.0612552544607765
compute => apply-formula|compute|conclude,4,14,13,0.14893617021276595,0.40625,-0.25731382978723405,0.3666121103905325,-1.3463837548726716,0.0049453634437533174,compute,apply-formula|compute|conclude,1,3,0.1794871794871795,0.5,0.3443223436618076,1.230769227739645,-0.3205128205128205,0.015040927870350326,0.25731382978723405,1.3463837548726716
