motif,length,success_count,failure_count,success_support,failure_support,support_difference,lift,log_odds_ratio,p_value,antecedent,consequent,antecedent_len,consequent_len,success_confidence,failure_confidence,success_rule_lift,failure_rule_lift,confidence_difference,q_value,abs_support_difference,abs_log_odds_ratio
analyze => instantiate|rewrite,3,17,27,0.18085106382978725,0.84375,-0.6628989361702128,0.21434200132200917,-3.0975149678639333,2.3492174867581118e-11,analyze,instantiate|rewrite,1,2,0.2537313432835821,0.8709677419354839,1.3250414524501568,1.032258063292712,-0.6172363986519018,1.5093722352420869e-09,0.6628989361702128,3.0975149678639333
analyze|instantiate => rewrite,3,17,27,0.18085106382978725,0.84375,-0.6628989361702128,0.21434200132200917,-3.0975149678639333,2.3492174867581118e-11,analyze|instantiate,rewrite,2,1,0.7083333333333334,0.9310344827586207,1.1285310716483292,1.0273483936345074,-0.2227011494252873,1.5093722352420869e-09,0.6628989361702128,3.0975149678639333
instantiate => compute|compute|compute,4,9,24,0.09574468085106383,0.75,-0.6542553191489362,0.12765957429787234,-3.25583153139063,4.9000752772099014e-12,instantiate,compute|compute|compute,1,3,0.36,0.8275862068965517,0.8459999980119,1.059310343471669,-0.4675862068965517,8.395462308286297e-10,0.6542553191489362,3.25583153139063
instantiate|compute => compute|compute,4,9,24,0.09574468085106383,0.75,-0.6542553191489362,0.12765957429787234,-3.25583153139063,4.9000752772099014e-12,instantiate|compute,compute|compute,2,2,0.4090909090909091,0.96,0.6630094033141823,1.1815384600842604,-0.5509090909090908,8.395462308286297e-10,0.6542553191489362,3.25583153139063
instantiate|compute|compute => compute,4,9,24,0.09574468085106383,0.75,-0.6542553191489362,0.12765957429787234,-3.25583153139063,4.9000752772099014e-12,instantiate|compute|compute,compute,3,1,0.5625,0.96,0.6778846145676776,1.1815384600842604,-0.39749999999999996,8.395462308286297e-10,0.6542553191489362,3.25583153139063
instantiate => rewrite,2,18,27,0.19148936170212766,0.84375,-0.6522606382978724,0.2269503543409509,-3.0289579211823114,5.530825232034443e-11,instantiate,rewrite,1,1,0.72,0.9310344827586207,1.147118642240184,1.0273483936345074,-0.2110344827586207,2.1868032071274647e-09,0.6522606382978724,3.0289579211823114
analyze => instantiate,2,24,29,0.2553191489361702,0.90625,-0.6509308510638299,0.2817314743773117,-3.188566887117948,6.047507409264442e-11,analyze,instantiate,1,1,0.3582089552238806,0.9354838709677419,1.346865666577576,1.0322580633770857,-0.5772749157438612,2.2202991488299448e-09,0.6509308510638299,3.188566887117948
analyze => instantiate|compute|compute,4,15,25,0.1595744680851064,0.78125,-0.6216755319148937,0.20425531888748938,-2.858692429357201,2.743759731498636e-10,analyze,instantiate|compute|compute,1,3,0.22388059701492538,0.8064516129032258,1.3152984997353079,1.0322580631948386,-0.5825710158883004,8.295838247001759e-09,0.6216755319148937,2.858692429357201
analyze|instantiate => compute|compute,4,15,25,0.1595744680851064,0.78125,-0.6216755319148937,0.20425531888748938,-2.858692429357201,2.743759731498636e-10,analyze|instantiate,compute|compute,2,2,0.625,0.8620689655172413,1.0129310328411119,1.0610079562538257,-0.23706896551724133,8.295838247001759e-09,0.6216755319148937,2.858692429357201
analyze|instantiate|compute => compute,4,15,25,0.1595744680851064,0.78125,-0.6216755319148937,0.20425531888748938,-2.858692429357201,2.743759731498636e-10,analyze|instantiate|compute,compute,3,1,0.7142857142857143,1.0,0.8608058597684795,1.2307692292544379,-0.2857142857142857,8.295838247001759e-09,0.6216755319148937,2.858692429357201
instantiate => compute|compute,3,16,25,0.1702127659574468,0.78125,-0.6110372340425532,0.21787234014665532,-2.7835136755039436,6.485577883209747e-10,instantiate,compute|compute,1,2,0.64,0.8620689655172413,1.0372413776292986,1.0610079562538257,-0.2220689655172413,1.754519490510426e-08,0.6110372340425532,2.7835136755039436
instantiate|compute => compute,3,16,25,0.1702127659574468,0.78125,-0.6110372340425532,0.21787234014665532,-2.7835136755039436,6.485577883209747e-10,instantiate|compute,compute,2,1,0.7272727272727273,1.0,0.8764568754006337,1.2307692292544379,-0.2727272727272727,1.754519490510426e-08,0.6110372340425532,2.7835136755039436
