motif,length,success_count,failure_count,success_support,failure_support,support_difference,lift,log_odds_ratio,p_value,antecedent,consequent,antecedent_len,consequent_len,success_confidence,failure_confidence,success_rule_lift,failure_rule_lift,confidence_difference,q_value,abs_support_difference,abs_log_odds_ratio
apply-formula => rewrite|compute|conclude,4,35,0,0.3723404255319149,0.0,0.3723404255319149,372340425.53191483,3.657943653825423,5.849404547492396e-06,apply-formula,rewrite|compute|conclude,1,3,0.5303030303030303,0.0,1.1868686842123617,0.0,0.5303030303030303,3.666577972452551e-05,0.3723404255319149,3.657943653825423
apply-formula|rewrite => compute|conclude,4,35,0,0.3723404255319149,0.0,0.3723404255319149,372340425.53191483,3.657943653825423,5.849404547492396e-06,apply-formula|rewrite,compute|conclude,2,2,0.7954545454545454,0.0,0.9838516734242791,0.0,0.7954545454545454,3.666577972452551e-05,0.3723404255319149,3.657943653825423
apply-formula|rewrite|compute => conclude,4,35,0,0.3723404255319149,0.0,0.3723404255319149,372340425.53191483,3.657943653825423,5.849404547492396e-06,apply-formula|rewrite|compute,conclude,3,1,1.0,0.0,1.0217391293908318,0.0,1.0,3.666577972452551e-05,0.3723404255319149,3.657943653825423
simplify => conclude,2,58,8,0.6170212765957447,0.25,0.3670212765957447,2.468085096510638,1.5303214477037757,0.00042546911144532957,simplify,conclude,1,1,1.0,0.7272727272727273,1.0217391293908318,0.8951048940032276,0.2727272727272727,0.001935319675069906,0.3670212765957447,1.5303214477037757
analyze => apply-formula|rewrite|compute,4,35,2,0.3723404255319149,0.0625,0.3098404255319149,5.957446713191491,1.984992335668997,0.000598315175486095,analyze,apply-formula|rewrite|compute,1,3,0.5223880597014925,0.06451612903225806,1.4029850708588485,1.0322580480000003,0.45787193066923443,0.0024602720015988225,0.3098404255319149,1.984992335668997
apply-formula => rewrite|compute,3,35,2,0.3723404255319149,0.0625,0.3098404255319149,5.957446713191491,1.984992335668997,0.000598315175486095,apply-formula,rewrite|compute,1,2,0.5303030303030303,0.08695652173913043,1.1868686842123617,0.12098298659916167,0.44334650856389984,0.0024602720015988225,0.3098404255319149,1.984992335668997
analyze|apply-formula => rewrite|compute,4,35,2,0.3723404255319149,0.0625,0.3098404255319149,5.957446713191491,1.984992335668997,0.000598315175486095,analyze|apply-formula,rewrite|compute,2,2,0.5303030303030303,0.09090909090909091,1.1868686842123617,0.12648221326275993,0.43939393939393934,0.0024602720015988225,0.3098404255319149,1.984992335668997
analyze|apply-formula|rewrite => compute,4,35,2,0.3723404255319149,0.0625,0.3098404255319149,5.957446713191491,1.984992335668997,0.000598315175486095,analyze|apply-formula|rewrite,compute,3,1,0.7954545454545454,0.25,0.958624707469443,0.30769230731360947,0.5454545454545454,0.0024602720015988225,0.3098404255319149,1.984992335668997
apply-formula|rewrite => compute,3,35,2,0.3723404255319149,0.0625,0.3098404255319149,5.957446713191491,1.984992335668997,0.000598315175486095,apply-formula|rewrite,compute,2,1,0.7954545454545454,0.25,0.958624707469443,0.30769230731360947,0.5454545454545454,0.0024602720015988225,0.3098404255319149,1.984992335668997
apply-formula => compute|compute|conclude,4,27,0,0.2872340425531915,0.0,0.2872340425531915,287234042.5531915,3.2764456766896783,0.0002532306714443358,apply-formula,compute|compute|conclude,1,3,0.4090909090909091,0.0,0.6746411472127928,0.0,0.4090909090909091,0.0011832778647489874,0.2872340425531915,3.2764456766896783
apply-formula|compute => compute|conclude,4,27,0,0.2872340425531915,0.0,0.2872340425531915,287234042.5531915,3.2764456766896783,0.0002532306714443358,apply-formula|compute,compute|conclude,2,2,0.54,0.0,0.667894736016025,0.0,0.54,0.0011832778647489874,0.2872340425531915,3.2764456766896783
analyze => apply-formula|rewrite|conclude,4,44,6,0.46808510638297873,0.1875,0.28058510638297873,2.4964538873947992,1.2788584089814656,0.006186079313378121,analyze,apply-formula|rewrite|conclude,1,3,0.6567164179104478,0.1935483870967742,1.4029850716295793,1.0322580590107526,0.4631680308136736,0.017636903443730777,0.28058510638297873,1.2788584089814656
apply-formula => rewrite|conclude,3,44,6,0.46808510638297873,0.1875,0.28058510638297873,2.4964538873947992,1.2788584089814656,0.006186079313378121,apply-formula,rewrite|conclude,1,2,0.6666666666666666,0.2608695652173913,1.0621468909631333,0.3339130430508522,0.40579710144927533,0.017636903443730777,0.28058510638297873,1.2788584089814656
analyze|apply-formula => rewrite|conclude,4,44,6,0.46808510638297873,0.1875,0.28058510638297873,2.4964538873947992,1.2788584089814656,0.006186079313378121,analyze|apply-formula,rewrite|conclude,2,2,0.6666666666666666,0.2727272727272727,1.0621468909631333,0.3490909086440727,0.3939393939393939,0.017636903443730777,0.28058510638297873,1.2788584089814656
analyze|apply-formula|rewrite => conclude,4,44,6,0.46808510638297873,0.1875,0.28058510638297873,2.4964538873947992,1.2788584089814656,0.006186079313378121,analyze|apply-formula|rewrite,conclude,3,1,1.0,0.75,1.0217391293908318,0.9230769219408285,0.25,0.017636903443730777,0.28058510638297873,1.2788584089814656
apply-formula|rewrite => conclude,3,44,6,0.46808510638297873,0.1875,0.28058510638297873,2.4964538873947992,1.2788584089814656,0.006186079313378121,apply-formula|rewrite,conclude,2,1,1.0,0.75,1.0217391293908318,0.9230769219408285,0.25,0.017636903443730777,0.28058510638297873,1.2788584089814656
derive-intermediate => compute,2,26,0,0.2765957446808511,0.0,0.2765957446808511,276595744.68085104,3.224698257619634,0.00024413297994247866,derive-intermediate,compute,1,1,0.7428571428571429,0.0,0.8952380941592186,0.0,0.7428571428571429,0.0011618921452817967,0.2765957446808511,3.224698257619634
derive-intermediate => compute|conclude,3,26,0,0.2765957446808511,0.0,0.2765957446808511,276595744.68085104,3.224698257619634,0.00024413297994247866,derive-intermediate,compute|conclude,1,2,0.7428571428571429,0.0,0.9187969913447963,0.0,0.7428571428571429,0.0011618921452817967,0.2765957446808511,3.224698257619634
derive-intermediate => simplify,2,28,1,0.2978723404255319,0.03125,0.2666223404255319,9.531914588595754,2.1972245773362196,0.0012345448225643063,derive-intermediate,simplify,1,1,0.8,0.2,1.2965517220366232,0.5818181801256198,0.6000000000000001,0.004532543134271811,0.2666223404255319,2.1972245773362196
derive-intermediate => simplify|conclude,3,28,1,0.2978723404255319,0.03125,0.2666223404255319,9.531914588595754,2.1972245773362196,0.0012345448225643063,derive-intermediate,simplify|conclude,1,2,0.8,0.2,1.2965517220366232,0.7999999968,0.6000000000000001,0.004532543134271811,0.2666223404255319,2.1972245773362196
