motif,length,success_count,failure_count,success_support,failure_support,support_difference,lift,log_odds_ratio,p_value,q_value,abs_support_difference,abs_log_odds_ratio
analyze|compute|rewrite|simplify,4,0,7,0.0,0.21875,-0.21875,0.0,-4.017971583437527,3.9865045717250276e-05,0.00034454789512766313,0.21875,4.017971583437527
apply-formula|rewrite|compute|conclude,4,35,0,0.3723404255319149,0.0,0.3723404255319149,372340425.53191483,3.657943653825423,5.849404547492396e-06,7.372686981735207e-05,0.3723404255319149,3.657943653825423
rewrite|isolate|compute,3,11,0,0.11702127659574468,0.0,0.11702127659574468,117021276.59574467,2.191887673408032,0.06427603791559904,0.12463782993249171,0.11702127659574468,2.191887673408032
analyze|rewrite|derive-intermediate,3,6,0,0.06382978723404255,0.0,0.06382978723404255,63829787.23404255,1.5631868947833447,0.3362515709969456,0.3453857393092565,0.06382978723404255,1.5631868947833447
analyze|apply-formula|apply-formula|conclude,4,24,0,0.2553191489361702,0.0,0.2553191489361702,255319148.9361702,3.1174476776280953,0.0004920725508965711,0.0027312283788295914,0.2553191489361702,3.1174476776280953
compute|simplify|isolate|conclude,4,5,0,0.05319148936170213,0.0,0.05319148936170213,53191489.36170212,1.3848967368532525,0.32819557891129264,0.3453857393092565,0.05319148936170213,1.3848967368532525
analyze|apply-formula|apply-formula,3,24,0,0.2553191489361702,0.0,0.2553191489361702,255319148.9361702,3.1174476776280953,0.0004920725508965711,0.0027312283788295914,0.2553191489361702,3.1174476776280953
analyze|analyze|apply-formula,3,6,0,0.06382978723404255,0.0,0.06382978723404255,63829787.23404255,1.5631868947833447,0.3362515709969456,0.3453857393092565,0.06382978723404255,1.5631868947833447
rewrite|rewrite|compute,3,20,0,0.2127659574468085,0.0,0.2127659574468085,212765957.4468085,2.8840130306544856,0.0019306216410910505,0.008848682521667315,0.2127659574468085,2.8840130306544856
compute|apply-formula|conclude,3,16,13,0.1702127659574468,0.40625,-0.2360372340425532,0.41898526901775146,-1.1920134637565103,0.013390649764438236,0.03932690828876278,0.2360372340425532,1.1920134637565103
analyze|apply-formula|simplify,3,31,6,0.32978723404255317,0.1875,0.14228723404255317,1.7588652388463357,0.7042901960235266,0.17746388619711367,0.26474292595625376,0.14228723404255317,0.7042901960235266
analyze|derive-intermediate|rewrite|rewrite,4,6,0,0.06382978723404255,0.0,0.06382978723404255,63829787.23404255,1.5631868947833447,0.3362515709969456,0.3453857393092565,0.06382978723404255,1.5631868947833447
apply-formula|compute,2,50,17,0.5319148936170213,0.53125,0.0006648936170212671,1.0012515625708607,0.005123290104852141,1.0,1.0,0.0006648936170212671,0.005123290104852141
