motif,length,success_count,failure_count,success_support,failure_support,support_difference,lift,log_odds_ratio,p_value,q_value,abs_support_difference,abs_log_odds_ratio
analyze|instantiate|rewrite,3,17,27,0.18085106382978725,0.84375,-0.6628989361702128,0.21434200132200917,-3.0975149678639333,2.3492174867581118e-11,3.553191448721644e-09,0.6628989361702128,3.0975149678639333
instantiate|compute|compute|compute,4,9,24,0.09574468085106383,0.75,-0.6542553191489362,0.12765957429787234,-3.25583153139063,4.9000752772099014e-12,1.4822727713559951e-09,0.6542553191489362,3.25583153139063
instantiate|rewrite,2,18,27,0.19148936170212766,0.84375,-0.6522606382978724,0.2269503543409509,-3.0289579211823114,5.530825232034443e-11,4.573427478256234e-09,0.6522606382978724,3.0289579211823114
analyze|instantiate,2,24,29,0.2553191489361702,0.90625,-0.6509308510638299,0.2817314743773117,-3.188566887117948,6.047507409264442e-11,4.573427478256234e-09,0.6509308510638299,3.188566887117948
compute|rewrite|compute|compute,4,0,20,0.0,0.625,-0.625,0.0,-5.7364432568957495,2.6544790900880166e-15,1.60595984950325e-12,0.625,5.7364432568957495
analyze|instantiate|compute|compute,4,15,25,0.1595744680851064,0.78125,-0.6216755319148937,0.20425531888748938,-2.858692429357201,2.743759731498636e-10,1.4783263202280264e-08,0.6216755319148937,2.858692429357201
instantiate|compute|compute,3,16,25,0.1702127659574468,0.78125,-0.6110372340425532,0.21787234014665532,-2.7835136755039436,6.485577883209747e-10,2.6158497462279313e-08,0.6110372340425532,2.7835136755039436
instantiate|compute|rewrite|compute,4,5,21,0.05319148936170213,0.65625,-0.6030585106382979,0.08105369795146428,-3.4151964328067974,1.1555159110880091e-11,2.330290420694152e-09,0.6030585106382979,3.4151964328067974
analyze|instantiate|compute|rewrite,4,6,21,0.06382978723404255,0.65625,-0.5924202127659575,0.09726443754175712,-3.2369062748767052,4.6558357721748443e-11,4.573427478256234e-09,0.5924202127659575,3.2369062748767052
instantiate|compute|rewrite,3,6,21,0.06382978723404255,0.65625,-0.5924202127659575,0.09726443754175712,-3.2369062748767052,4.6558357721748443e-11,4.573427478256234e-09,0.5924202127659575,3.2369062748767052
analyze|compute|compute|compute,4,15,24,0.1595744680851064,0.75,-0.5904255319148937,0.21276595716312058,-2.693523951789496,1.883357778385641e-09,5.060397714914642e-08,0.5904255319148937,2.693523951789496
analyze|instantiate|rewrite|compute,4,13,23,0.13829787234042554,0.71875,-0.5804521276595744,0.19241443081462414,-2.7036219573460514,2.0910734359151413e-09,5.060397714914642e-08,0.5804521276595744,2.7036219573460514
instantiate|rewrite|compute|compute,4,11,22,0.11702127659574468,0.6875,-0.5704787234042553,0.17021276570986463,-2.744639648534502,1.998295179731658e-09,5.060397714914642e-08,0.5704787234042553,2.744639648534502
