motif,length,success_count,failure_count,success_support,failure_support,support_difference,lift,log_odds_ratio,p_value,q_value,abs_support_difference,abs_log_odds_ratio
analyze|apply-formula|apply-formula|conclude,4,5,0,0.05319148936170213,0.0,0.05319148936170213,53191489.36170212,1.3848967368532525,0.32819557891129264,0.4273030652811541,0.05319148936170213,1.3848967368532525
analyze|apply-formula|apply-formula,3,19,3,0.20212765957446807,0.09375,0.10837765957446807,2.1560283457966904,0.7779091041651282,0.1899360770805419,0.34222033274963126,0.10837765957446807,0.7779091041651282
analyze|analyze|apply-formula,3,6,0,0.06382978723404255,0.0,0.06382978723404255,63829787.23404255,1.5631868947833447,0.3362515709969456,0.4273030652811541,0.06382978723404255,1.5631868947833447
rewrite|rewrite|compute,3,17,1,0.18085106382978725,0.03125,0.14960106382978725,5.787233857361708,1.5564453822935902,0.04108921360954594,0.12280854346987195,0.14960106382978725,1.5564453822935902
compute|rewrite,2,17,21,0.18085106382978725,0.65625,-0.4753989361702128,0.2755825730349786,-2.1137829551942455,1.2436008690708157e-06,2.07914520297777e-05,0.4753989361702128,2.1137829551942455
analyze|simplify|compute|conclude,4,5,0,0.05319148936170213,0.0,0.05319148936170213,53191489.36170212,1.3848967368532525,0.32819557891129264,0.4273030652811541,0.05319148936170213,1.3848967368532525
analyze|isolate|simplify|conclude,4,8,0,0.0851063829787234,0.0,0.0851063829787234,85106382.97872339,1.8543090194540743,0.20085455043623218,0.34222033274963126,0.0851063829787234,1.8543090194540743
compute|compute|rewrite|simplify,4,5,0,0.05319148936170213,0.0,0.05319148936170213,53191489.36170212,1.3848967368532525,0.32819557891129264,0.4273030652811541,0.05319148936170213,1.3848967368532525
analyze|rewrite|conclude,3,8,2,0.0851063829787234,0.0625,0.022606382978723402,1.3617021058723409,0.1813577012976481,1.0,1.0,0.022606382978723402,0.1813577012976481
simplify|isolate|compute|conclude,4,14,0,0.14893617021276595,0.0,0.14893617021276595,148936170.21276593,2.4602787348976483,0.02013396695139321,0.07428739530341633,0.14893617021276595,2.4602787348976483
isolate|isolate|simplify,3,11,0,0.11702127659574468,0.0,0.11702127659574468,117021276.59574467,2.191887673408032,0.06427603791559904,0.15846857274122345,0.11702127659574468,2.191887673408032
analyze|compute|compute|simplify,4,1,5,0.010638297872340425,0.15625,-0.1456117021276596,0.06808510594723405,-2.5230584157523763,0.004027391798101696,0.024209602381847276,0.1456117021276596,2.5230584157523763
compute|compute|rewrite|compute,4,5,0,0.05319148936170213,0.0,0.05319148936170213,53191489.36170212,1.3848967368532525,0.32819557891129264,0.4273030652811541,0.05319148936170213,1.3848967368532525
simplify|compute|isolate|compute,4,7,0,0.07446808510638298,0.0,0.07446808510638298,74468085.10638297,1.717651497074333,0.1897976265875651,0.34222033274963126,0.07446808510638298,1.717651497074333
instantiate|rewrite|apply-formula|compute,4,5,9,0.05319148936170213,0.28125,-0.22805851063829788,0.1891252948358287,-1.8837819104987663,0.001273258627628893,0.009082578210419438,0.22805851063829788,1.8837819104987663
analyze|simplify,2,22,3,0.23404255319148937,0.09375,0.14029255319148937,2.4964538740803786,0.9615560422001515,0.12282177495317383,0.26820265142835914,0.14029255319148937,0.9615560422001515
apply-formula|simplify|isolate|isolate,4,14,0,0.14893617021276595,0.0,0.14893617021276595,148936170.21276593,2.4602787348976483,0.02013396695139321,0.07428739530341633,0.14893617021276595,2.4602787348976483
analyze|instantiate|apply-formula,3,15,6,0.1595744680851064,0.1875,-0.02792553191489361,0.851063825248227,-0.2295744416445001,0.7847536201686851,0.8533398105492815,0.02792553191489361,0.2295744416445001
isolate|isolate|compute,3,8,0,0.0851063829787234,0.0,0.0851063829787234,85106382.97872339,1.8543090194540743,0.20085455043623218,0.34222033274963126,0.0851063829787234,1.8543090194540743
analyze|rewrite|compute|apply-formula,4,14,13,0.14893617021276595,0.40625,-0.25731382978723405,0.3666121103905325,-1.3463837548726716,0.0049453634437533174,0.027275973633072423,0.25731382978723405,1.3463837548726716
analyze|compute|compute|compute,4,7,23,0.07446808510638298,0.71875,-0.644281914893617,0.10360777043864376,-3.362444395364922,3.280681124811755e-12,3.510328803548578e-10,0.644281914893617,3.362444395364922
compute|compute|compute|rewrite,4,8,0,0.0851063829787234,0.0,0.0851063829787234,85106382.97872339,1.8543090194540743,0.20085455043623218,0.34222033274963126,0.0851063829787234,1.8543090194540743
instantiate|rewrite|apply-formula,3,6,11,0.06382978723404255,0.34375,-0.27992021276595747,0.18568665323158076,-1.9854944753478794,0.00025670399897676454,0.0027467327890513802,0.27992021276595747,1.9854944753478794
simplify|isolate|isolate|simplify,4,11,0,0.11702127659574468,0.0,0.11702127659574468,117021276.59574467,2.191887673408032,0.06427603791559904,0.15846857274122345,0.11702127659574468,2.191887673408032
analyze|compute,2,19,24,0.20212765957446807,0.75,-0.5478723404255319,0.2695035457399527,-2.4123251447396883,4.13299543153508e-08,1.0529297885101275e-06,0.5478723404255319,2.4123251447396883
compute|rewrite|apply-formula|compute,4,1,9,0.010638297872340425,0.28125,-0.27061170212765956,0.037825058967165745,-3.2267877056428587,1.402022468335361e-05,0.0001744376791998647,0.27061170212765956,3.2267877056428587
instantiate|compute|rewrite|apply-formula,4,1,9,0.010638297872340425,0.28125,-0.27061170212765956,0.037825058967165745,-3.2267877056428587,1.402022468335361e-05,0.0001744376791998647,0.27061170212765956,3.2267877056428587
analyze|instantiate|compute|apply-formula,4,7,14,0.07446808510638298,0.4375,-0.363031914893617,0.17021276556838905,-2.2131136901635537,1.2392882848853098e-05,0.0001744376791998647,0.363031914893617,2.2131136901635537
analyze|isolate|simplify|isolate,4,10,0,0.10638297872340426,0.0,0.10638297872340426,106382978.72340424,2.089010992695987,0.06386747850092758,0.15846857274122345,0.10638297872340426,2.089010992695987
simplify|isolate|isolate|compute,4,7,0,0.07446808510638298,0.0,0.07446808510638298,74468085.10638297,1.717651497074333,0.1897976265875651,0.34222033274963126,0.07446808510638298,1.717651497074333
apply-formula|rewrite|apply-formula|rewrite,4,5,0,0.05319148936170213,0.0,0.05319148936170213,53191489.36170212,1.3848967368532525,0.32819557891129264,0.4273030652811541,0.05319148936170213,1.3848967368532525
simplify|isolate|compute|isolate,4,7,0,0.07446808510638298,0.0,0.07446808510638298,74468085.10638297,1.717651497074333,0.1897976265875651,0.34222033274963126,0.07446808510638298,1.717651497074333
derive-intermediate|compute|compute|simplify,4,14,0,0.14893617021276595,0.0,0.14893617021276595,148936170.21276593,2.4602787348976483,0.02013396695139321,0.07428739530341633,0.14893617021276595,2.4602787348976483
compute|derive-intermediate|derive-intermediate|conclude,4,6,0,0.06382978723404255,0.0,0.06382978723404255,63829787.23404255,1.5631868947833447,0.3362515709969456,0.4273030652811541,0.06382978723404255,1.5631868947833447
rewrite|compute|simplify,3,2,7,0.02127659574468085,0.21875,-0.19747340425531915,0.09726443724533218,-2.3871424810221087,0.0009552110106906044,0.007197716770696808,0.19747340425531915,2.3871424810221087
compute|compute|rewrite,3,10,0,0.10638297872340426,0.0,0.10638297872340426,106382978.72340424,2.089010992695987,0.06386747850092758,0.15846857274122345,0.10638297872340426,2.089010992695987
derive-intermediate|compute|compute|compute,4,13,0,0.13829787234042554,0.0,0.13829787234042554,138297872.34042552,2.3764739350932036,0.03763002268158161,0.11504035505512093,0.13829787234042554,2.3764739350932036
instantiate|simplify,2,4,2,0.0425531914893617,0.0625,-0.0199468085106383,0.6808510529361704,-0.4998365021903955,0.6433590530729856,0.7370387438844695,0.0199468085106383,0.4998365021903955
rewrite|compute|apply-formula|rewrite,4,5,0,0.05319148936170213,0.0,0.05319148936170213,53191489.36170212,1.3848967368532525,0.32819557891129264,0.4273030652811541,0.05319148936170213,1.3848967368532525
rewrite|compute|compute,3,26,22,0.2765957446808511,0.6875,-0.4109042553191489,0.4023210825869527,-1.7118290643228997,5.4389530890123486e-05,0.0006325738918742623,0.4109042553191489,1.7118290643228997
compute|simplify|compute|conclude,4,6,0,0.06382978723404255,0.0,0.06382978723404255,63829787.23404255,1.5631868947833447,0.3362515709969456,0.4273030652811541,0.06382978723404255,1.5631868947833447
analyze|isolate|compute|simplify,4,5,0,0.05319148936170213,0.0,0.05319148936170213,53191489.36170212,1.3848967368532525,0.32819557891129264,0.4273030652811541,0.05319148936170213,1.3848967368532525
instantiate|compute,2,17,24,0.18085106382978725,0.75,-0.5691489361702128,0.24113475145153668,-2.5466840094842436,9.447333118594604e-09,2.5271616092240564e-07,0.5691489361702128,2.5466840094842436
simplify|rewrite,2,6,3,0.06382978723404255,0.09375,-0.029920212765957452,0.6808510565673759,-0.4795730802618862,0.6916765105173635,0.7709311106808113,0.029920212765957452,0.4795730802618862
apply-formula|apply-formula|rewrite,3,13,3,0.13829787234042554,0.09375,0.04454787234042554,1.4751772892293147,0.3337139600479728,0.759440355794669,0.8291848782656079,0.04454787234042554,0.3337139600479728
instantiate|compute|compute|simplify,4,2,7,0.02127659574468085,0.21875,-0.19747340425531915,0.09726443724533218,-2.3871424810221087,0.0009552110106906044,0.007197716770696808,0.19747340425531915,2.3871424810221087
analyze|rewrite|simplify|compute,4,9,0,0.09574468085106383,0.0,0.09574468085106383,95744680.85106382,1.9771626925594177,0.11022249039765478,0.24570430151143877,0.09574468085106383,1.9771626925594177
instantiate|compute|compute,3,14,24,0.14893617021276595,0.75,-0.601063829787234,0.19858156001891253,-2.7727154890523993,7.929475189463997e-10,2.6229499920441296e-08,0.601063829787234,2.7727154890523993
analyze|isolate|compute|compute,4,5,0,0.05319148936170213,0.0,0.05319148936170213,53191489.36170212,1.3848967368532525,0.32819557891129264,0.4273030652811541,0.05319148936170213,1.3848967368532525
isolate|simplify|simplify|conclude,4,11,0,0.11702127659574468,0.0,0.11702127659574468,117021276.59574467,2.191887673408032,0.06427603791559904,0.15846857274122345,0.11702127659574468,2.191887673408032
isolate|compute|simplify|compute,4,6,0,0.06382978723404255,0.0,0.06382978723404255,63829787.23404255,1.5631868947833447,0.3362515709969456,0.4273030652811541,0.06382978723404255,1.5631868947833447
instantiate|compute|compute|compute,4,8,23,0.0851063829787234,0.71875,-0.6336436170212766,0.11840888050130717,-3.225786872985181,1.1575542837641696e-11,8.847022025911867e-10,0.6336436170212766,3.225786872985181
analyze|apply-formula|instantiate|apply-formula,4,8,1,0.0851063829787234,0.03125,0.0538563829787234,2.7234041681702155,0.7244441872818603,0.4464191893379934,0.5465315018211132,0.0538563829787234,0.7244441872818603
analyze|compute|conclude,3,7,0,0.07446808510638298,0.0,0.07446808510638298,74468085.10638297,1.717651497074333,0.1897976265875651,0.34222033274963126,0.07446808510638298,1.717651497074333
apply-formula|rewrite|compute|compute,4,20,1,0.2127659574468085,0.03125,0.1815159574468085,6.808510420425539,1.7541481984822718,0.014557786168934949,0.058122504480449234,0.1815159574468085,1.7541481984822718
simplify|isolate|simplify|conclude,4,15,0,0.1595744680851064,0.0,0.1595744680851064,159574468.08510637,2.539470272160552,0.011637943158518807,0.0475290045023478,0.1595744680851064,2.539470272160552
compute|apply-formula|compute,3,14,15,0.14893617021276595,0.46875,-0.31981382978723405,0.3177304957760756,-1.5927476779937215,0.00048284304018144807,0.004178711344915325,0.31981382978723405,1.5927476779937215
apply-formula|instantiate|compute|compute,4,6,0,0.06382978723404255,0.0,0.06382978723404255,63829787.23404255,1.5631868947833447,0.3362515709969456,0.4273030652811541,0.06382978723404255,1.5631868947833447
simplify|compute|simplify|isolate,4,5,0,0.05319148936170213,0.0,0.05319148936170213,53191489.36170212,1.3848967368532525,0.32819557891129264,0.4273030652811541,0.05319148936170213,1.3848967368532525
analyze|simplify|simplify|conclude,4,10,0,0.10638297872340426,0.0,0.10638297872340426,106382978.72340424,2.089010992695987,0.06386747850092758,0.15846857274122345,0.10638297872340426,2.089010992695987
apply-formula|compute|simplify,3,8,3,0.0851063829787234,0.09375,-0.008643617021276598,0.9078014087565013,-0.18845095559115668,1.0,1.0,0.008643617021276598,0.18845095559115668
simplify|isolate|simplify,3,15,0,0.1595744680851064,0.0,0.1595744680851064,159574468.08510637,2.539470272160552,0.011637943158518807,0.0475290045023478,0.1595744680851064,2.539470272160552
analyze|derive-intermediate|rewrite,3,4,1,0.0425531914893617,0.03125,0.011303191489361701,1.3617020840851077,0.04324998379381674,1.0,1.0,0.011303191489361701,0.04324998379381674
apply-formula|compute|compute,3,24,3,0.2553191489361702,0.09375,0.1615691489361702,2.7234042262695035,1.0746877025828645,0.07909439310288972,0.18975560677150674,0.1615691489361702,1.0746877025828645
simplify|isolate|compute,3,14,0,0.14893617021276595,0.0,0.14893617021276595,148936170.21276593,2.4602787348976483,0.02013396695139321,0.07428739530341633,0.14893617021276595,2.4602787348976483
simplify|compute|isolate,3,7,0,0.07446808510638298,0.0,0.07446808510638298,74468085.10638297,1.717651497074333,0.1897976265875651,0.34222033274963126,0.07446808510638298,1.717651497074333
simplify|isolate|simplify|isolate,4,12,0,0.1276595744680851,0.0,0.1276595744680851,127659574.4680851,2.287317620863257,0.03587186442079261,0.11504035505512093,0.1276595744680851,2.287317620863257
derive-intermediate|compute|derive-intermediate,3,15,0,0.1595744680851064,0.0,0.1595744680851064,159574468.08510637,2.539470272160552,0.011637943158518807,0.0475290045023478,0.1595744680851064,2.539470272160552
analyze|simplify|isolate|isolate,4,13,0,0.13829787234042554,0.0,0.13829787234042554,138297872.34042552,2.3764739350932036,0.03763002268158161,0.11504035505512093,0.13829787234042554,2.3764739350932036
analyze|simplify|simplify|isolate,4,13,0,0.13829787234042554,0.0,0.13829787234042554,138297872.34042552,2.3764739350932036,0.03763002268158161,0.11504035505512093,0.13829787234042554,2.3764739350932036
rewrite|apply-formula|isolate,3,5,0,0.05319148936170213,0.0,0.05319148936170213,53191489.36170212,1.3848967368532525,0.32819557891129264,0.4273030652811541,0.05319148936170213,1.3848967368532525
analyze|isolate|isolate|simplify,4,10,0,0.10638297872340426,0.0,0.10638297872340426,106382978.72340424,2.089010992695987,0.06386747850092758,0.15846857274122345,0.10638297872340426,2.089010992695987
rewrite|rewrite|rewrite,3,9,2,0.09574468085106383,0.0625,0.03324468085106383,1.5319148691063833,0.30421137440299156,0.7282405140778043,0.8025310682345028,0.03324468085106383,0.30421137440299156
derive-intermediate|simplify,2,26,1,0.2765957446808511,0.03125,0.24534574468085107,8.8510635465532,2.09483342544742,0.002351921147258749,0.014631137369574776,0.24534574468085107,2.09483342544742
