motif,length,success_count,failure_count,success_support,failure_support,support_difference,lift,log_odds_ratio,p_value,q_value,abs_support_difference,abs_log_odds_ratio
analyze|instantiate,2,19,29,0.20212765957446807,0.90625,-0.7041223404255319,0.22303741721537176,-3.4853454855356842,1.085947549538085e-12,2.9049096950143775e-10,0.7041223404255319,3.4853454855356842
analyze|instantiate|rewrite,3,13,26,0.13829787234042554,0.8125,-0.6742021276595744,0.1702127657479542,-3.2032558908930184,5.126106501547464e-12,4.5707782972131555e-10,0.6742021276595744,3.2032558908930184
analyze|compute|compute|compute,4,7,23,0.07446808510638298,0.71875,-0.644281914893617,0.10360777043864376,-3.362444395364922,3.280681124811755e-12,3.510328803548578e-10,0.644281914893617,3.362444395364922
analyze|instantiate|compute|compute,4,10,24,0.10638297872340426,0.75,-0.6436170212765957,0.14184397144208039,-3.1439832312540608,1.529185412258553e-11,1.0226427444479074e-09,0.6436170212765957,3.1439832312540608
instantiate|rewrite,2,16,26,0.1702127659574468,0.8125,-0.6422872340425532,0.20949263476671284,-2.9650807999724127,8.543616718346267e-11,4.155304494832048e-09,0.6422872340425532,2.9650807999724127
instantiate|compute|compute|compute,4,8,23,0.0851063829787234,0.71875,-0.6336436170212766,0.11840888050130717,-3.225786872985181,1.1575542837641696e-11,8.847022025911867e-10,0.6336436170212766,3.225786872985181
instantiate|compute|rewrite|compute,4,3,21,0.031914893617021274,0.65625,-0.6243351063829787,0.04863221877087856,-3.88928190355052,4.4207214194407194e-13,2.365085959400785e-10,0.6243351063829787,3.88928190355052
analyze|instantiate|compute,3,12,24,0.1276595744680851,0.75,-0.6223404255319149,0.17021276573049646,-2.9456766030867905,1.2263618078181753e-10,4.68645405130517e-09,0.6223404255319149,2.9456766030867905
analyze|compute|compute,3,12,24,0.1276595744680851,0.75,-0.6223404255319149,0.17021276573049646,-2.9456766030867905,1.2263618078181753e-10,4.68645405130517e-09,0.6223404255319149,2.9456766030867905
instantiate|compute|rewrite,3,4,21,0.0425531914893617,0.65625,-0.6136968085106383,0.06484295836117142,-3.626978353694019,2.4791352705512183e-12,3.315843424362254e-10,0.6136968085106383,3.626978353694019
analyze|instantiate|compute|rewrite,4,4,21,0.0425531914893617,0.65625,-0.6136968085106383,0.06484295836117142,-3.626978353694019,2.4791352705512183e-12,3.315843424362254e-10,0.6136968085106383,3.626978353694019
analyze|instantiate|rewrite|compute,4,10,23,0.10638297872340426,0.71875,-0.6123670212765957,0.14801110062663397,-2.9910848997432686,1.1228179001275799e-10,4.68645405130517e-09,0.6123670212765957,2.9910848997432686
instantiate|compute|compute,3,14,24,0.14893617021276595,0.75,-0.601063829787234,0.19858156001891253,-2.7727154890523993,7.929475189463997e-10,2.6229499920441296e-08,0.601063829787234,2.7727154890523993
analyze|compute|rewrite|compute,4,6,21,0.06382978723404255,0.65625,-0.5924202127659575,0.09726443754175712,-3.2369062748767052,4.6558357721748443e-11,2.4908721381135415e-09,0.5924202127659575,3.2369062748767052
instantiate|rewrite|compute,3,12,23,0.1276595744680851,0.71875,-0.5910904255319149,0.17761332075196073,-2.792778271575998,8.334607451355178e-10,2.6229499920441296e-08,0.5910904255319149,2.792778271575998
compute|rewrite|compute|compute,4,4,20,0.0425531914893617,0.625,-0.5824468085106383,0.06808510627404256,-3.4959686957657135,1.775710873510482e-11,1.0555614636978978e-09,0.5824468085106383,3.4959686957657135
analyze|compute|rewrite,3,8,21,0.0851063829787234,0.65625,-0.5711436170212766,0.12968591672234284,-2.945784150205976,5.394605422421395e-10,1.9240759339969643e-08,0.5711436170212766,2.945784150205976
instantiate|rewrite|compute|compute,4,11,22,0.11702127659574468,0.6875,-0.5704787234042553,0.17021276570986463,-2.744639648534502,1.998295179731658e-09,5.9393773397579835e-08,0.5704787234042553,2.744639648534502
instantiate|compute,2,17,24,0.18085106382978725,0.75,-0.5691489361702128,0.24113475145153668,-2.5466840094842436,9.447333118594604e-09,2.5271616092240564e-07,0.5691489361702128,2.5466840094842436
compute|rewrite|compute,3,10,21,0.10638297872340426,0.65625,-0.5498670212765957,0.16210739590292855,-2.711082176964063,4.4343958081185674e-09,1.248632503864965e-07,0.5498670212765957,2.711082176964063
analyze|compute,2,19,24,0.20212765957446807,0.75,-0.5478723404255319,0.2695035457399527,-2.4123251447396883,4.13299543153508e-08,1.0529297885101275e-06,0.5478723404255319,2.4123251447396883
rewrite|compute|compute|compute,4,16,22,0.1702127659574468,0.6875,-0.5172872340425532,0.24758220466889397,-2.3218782959287245,1.3253268036353083e-07,2.8193836089134313e-06,0.5172872340425532,2.3218782959287245
instantiate|compute|compute|conclude,4,10,19,0.10638297872340426,0.59375,-0.48736702127659576,0.17917133228502388,-2.453101057324968,1.2175619673259503e-07,2.8193836089134313e-06,0.48736702127659576,2.453101057324968
compute|compute|compute|compute,4,25,24,0.26595744680851063,0.75,-0.48404255319148937,0.35460992860520096,-2.0612552544607765,2.0006090503233434e-06,3.243411642190875e-05,0.48404255319148937,2.0612552544607765
compute|rewrite,2,17,21,0.18085106382978725,0.65625,-0.4753989361702128,0.2755825730349786,-2.1137829551942455,1.2436008690708157e-06,2.07914520297777e-05,0.4753989361702128,2.1137829551942455
instantiate|rewrite|compute|conclude,4,5,16,0.05319148936170213,0.5,-0.44680851063829785,0.1063829785106383,-2.7894905330423847,8.101395582743508e-08,1.9701121076217166e-06,0.44680851063829785,2.7894905330423847
rewrite|compute|compute,3,26,22,0.2765957446808511,0.6875,-0.4109042553191489,0.4023210825869527,-1.7118290643228997,5.4389530890123486e-05,0.0006325738918742623,0.4109042553191489,1.7118290643228997
compute|compute|compute|apply-formula,4,3,14,0.031914893617021274,0.4375,-0.40558510638297873,0.07294832810073816,-3.0199539211283573,1.4228664942179933e-07,2.8193836089134313e-06,0.40558510638297873,3.0199539211283573
analyze|compute|compute|apply-formula,4,3,14,0.031914893617021274,0.4375,-0.40558510638297873,0.07294832810073816,-3.0199539211283573,1.4228664942179933e-07,2.8193836089134313e-06,0.40558510638297873,3.0199539211283573
instantiate|compute|compute|apply-formula,4,3,14,0.031914893617021274,0.4375,-0.40558510638297873,0.07294832810073816,-3.0199539211283573,1.4228664942179933e-07,2.8193836089134313e-06,0.40558510638297873,3.0199539211283573
analyze|rewrite|compute|compute,4,24,21,0.2553191489361702,0.65625,-0.4009308510638298,0.3890577501670285,-1.6826454920319545,8.409371320278499e-05,0.0009372945117393744,0.4009308510638298,1.6826454920319545
compute|compute|apply-formula,3,4,14,0.0425531914893617,0.4375,-0.3949468085106383,0.09726443746765089,-2.757650371271856,5.420470434747996e-07,9.666505608633925e-06,0.3949468085106383,2.757650371271856
compute|compute|apply-formula|compute,4,4,14,0.0425531914893617,0.4375,-0.3949468085106383,0.09726443746765089,-2.757650371271856,5.420470434747996e-07,9.666505608633925e-06,0.3949468085106383,2.757650371271856
compute|rewrite|compute|apply-formula,4,2,13,0.02127659574468085,0.40625,-0.3849734042553192,0.05237315862721893,-3.243193132518907,1.5192262530675665e-07,2.9028073049683863e-06,0.3849734042553192,3.243193132518907
compute|rewrite|compute|conclude,4,8,15,0.0851063829787234,0.46875,-0.3836436170212766,0.18156028330061463,-2.1987173934372954,7.512850095223582e-06,0.00011164930002623934,0.3836436170212766,2.1987173934372954
rewrite|compute|compute|apply-formula,4,3,13,0.031914893617021274,0.40625,-0.37433510638297873,0.07855973794082839,-2.8958512236607903,6.819012989794095e-07,1.1768296611418842e-05,0.37433510638297873,2.8958512236607903
compute|compute|apply-formula|conclude,4,4,13,0.0425531914893617,0.40625,-0.3636968085106383,0.10474631725443787,-2.633547673804289,2.4356489100416425e-06,3.832565196683173e-05,0.3636968085106383,2.633547673804289
analyze|instantiate|compute|apply-formula,4,7,14,0.07446808510638298,0.4375,-0.363031914893617,0.17021276556838905,-2.2131136901635537,1.2392882848853098e-05,0.0001744376791998647,0.363031914893617,2.2131136901635537
instantiate|compute|apply-formula|compute,4,7,14,0.07446808510638298,0.4375,-0.363031914893617,0.17021276556838905,-2.2131136901635537,1.2392882848853098e-05,0.0001744376791998647,0.363031914893617,2.2131136901635537
compute|compute|compute,3,40,25,0.425531914893617,0.78125,-0.355718085106383,0.5446808503666383,-1.5206741591788207,0.0005095571941114072,0.004259579669525044,0.355718085106383,1.5206741591788207
