motif,length,success_count,failure_count,success_support,failure_support,support_difference,lift,log_odds_ratio,p_value,q_value,abs_support_difference,abs_log_odds_ratio
analyze|apply-formula,2,60,7,0.6382978723404256,0.21875,0.41954787234042556,2.9179331173599654,1.7854594726215973,6.54893405007505e-05,0.0007454637695298196,0.41954787234042556,1.7854594726215973
simplify|conclude,2,51,7,0.5425531914893617,0.21875,0.32380319148936165,2.4802431497559705,1.3925963011971678,0.0018778331124445838,0.01240297179207225,0.32380319148936165,1.3925963011971678
apply-formula|rewrite|compute,3,33,2,0.35106382978723405,0.0625,0.28856382978723405,5.617021186723406,1.8939442157577595,0.0011778841324504075,0.008515783930553623,0.28856382978723405,1.8939442157577595
analyze|apply-formula|rewrite|compute,4,32,2,0.3404255319148936,0.0625,0.2779255319148936,5.4468084234893634,1.8475094843325468,0.0021990549539444727,0.014005885718574914,0.2779255319148936,1.8475094843325468
derive-intermediate|compute,2,25,0,0.26595744680851063,0.0,0.26595744680851063,265957446.80851063,3.171738969489271,0.0004889917443809418,0.004178711344915325,0.26595744680851063,3.171738969489271
apply-formula|rewrite|compute|conclude,4,25,0,0.26595744680851063,0.0,0.26595744680851063,265957446.80851063,3.171738969489271,0.0004889917443809418,0.004178711344915325,0.26595744680851063,3.171738969489271
apply-formula|isolate,2,25,0,0.26595744680851063,0.0,0.26595744680851063,265957446.80851063,3.171738969489271,0.0004889917443809418,0.004178711344915325,0.26595744680851063,3.171738969489271
analyze|apply-formula|isolate,3,25,0,0.26595744680851063,0.0,0.26595744680851063,265957446.80851063,3.171738969489271,0.0004889917443809418,0.004178711344915325,0.26595744680851063,3.171738969489271
derive-intermediate|compute|conclude,3,24,0,0.2553191489361702,0.0,0.2553191489361702,255319148.9361702,3.1174476776280953,0.0004920725508965711,0.004178711344915325,0.2553191489361702,3.1174476776280953
compute|derive-intermediate|simplify,3,24,0,0.2553191489361702,0.0,0.2553191489361702,255319148.9361702,3.1174476776280953,0.0004920725508965711,0.004178711344915325,0.2553191489361702,3.1174476776280953
compute|derive-intermediate|compute,3,24,0,0.2553191489361702,0.0,0.2553191489361702,255319148.9361702,3.1174476776280953,0.0004920725508965711,0.004178711344915325,0.2553191489361702,3.1174476776280953
derive-intermediate|compute|simplify|conclude,4,24,0,0.2553191489361702,0.0,0.2553191489361702,255319148.9361702,3.1174476776280953,0.0004920725508965711,0.004178711344915325,0.2553191489361702,3.1174476776280953
compute|derive-intermediate|compute|simplify,4,24,0,0.2553191489361702,0.0,0.2553191489361702,255319148.9361702,3.1174476776280953,0.0004920725508965711,0.004178711344915325,0.2553191489361702,3.1174476776280953
derive-intermediate|compute|simplify,3,24,0,0.2553191489361702,0.0,0.2553191489361702,255319148.9361702,3.1174476776280953,0.0004920725508965711,0.004178711344915325,0.2553191489361702,3.1174476776280953
isolate|conclude,2,24,0,0.2553191489361702,0.0,0.2553191489361702,255319148.9361702,3.1174476776280953,0.0004920725508965711,0.004178711344915325,0.2553191489361702,3.1174476776280953
compute|derive-intermediate|simplify|conclude,4,24,0,0.2553191489361702,0.0,0.2553191489361702,255319148.9361702,3.1174476776280953,0.0004920725508965711,0.004178711344915325,0.2553191489361702,3.1174476776280953
analyze|apply-formula|compute,3,29,2,0.30851063829787234,0.0625,0.24601063829787234,4.936170133787235,1.7037760724437787,0.004213103588467389,0.024769345272857724,0.24601063829787234,1.7037760724437787
derive-intermediate|simplify,2,26,1,0.2765957446808511,0.03125,0.24534574468085107,8.8510635465532,2.09483342544742,0.002351921147258749,0.014631137369574776,0.24534574468085107,2.09483342544742
compute|derive-intermediate,2,26,1,0.2765957446808511,0.03125,0.24534574468085107,8.8510635465532,2.09483342544742,0.002351921147258749,0.014631137369574776,0.24534574468085107,2.09483342544742
compute|derive-intermediate|compute|conclude,4,23,0,0.24468085106382978,0.0,0.24468085106382978,244680851.06382975,3.0616902413457883,0.0009343197051874346,0.007197716770696808,0.24468085106382978,3.0616902413457883
compute|compute|derive-intermediate|simplify,4,23,0,0.24468085106382978,0.0,0.24468085106382978,244680851.06382975,3.0616902413457883,0.0009343197051874346,0.007197716770696808,0.24468085106382978,3.0616902413457883
apply-formula|rewrite,2,43,7,0.4574468085106383,0.21875,0.2386968085106383,2.0911854007746418,1.0549545620470637,0.021228441996625918,0.07725997597411473,0.2386968085106383,1.0549545620470637
analyze|apply-formula|rewrite,3,40,6,0.425531914893617,0.1875,0.23803191489361702,2.269503533995272,1.1084438285338802,0.019128010449849003,0.07428739530341633,0.23803191489361702,1.1084438285338802
derive-intermediate|simplify|conclude,3,25,1,0.26595744680851063,0.03125,0.23470744680851063,8.510638025531923,2.041874137317057,0.004341448307136392,0.025246465699108368,0.23470744680851063,2.041874137317057
compute|compute|derive-intermediate|compute,4,22,0,0.23404255319148937,0.0,0.23404255319148937,234042553.19148934,3.0043160172453827,0.0009799561480955674,0.007281618600432342,0.23404255319148937,3.0043160172453827
compute|simplify|conclude,3,33,4,0.35106382978723405,0.125,0.22606382978723405,2.8085106158297877,1.2383349545168794,0.014671847484820226,0.058143988180583854,0.22606382978723405,1.2383349545168794
simplify|isolate,2,21,0,0.22340425531914893,0.0,0.22340425531914893,223404255.3191489,2.945154798810463,0.001770736158382049,0.011841798059179953,0.22340425531914893,2.945154798810463
apply-formula|simplify|isolate,3,21,0,0.22340425531914893,0.0,0.22340425531914893,223404255.3191489,2.945154798810463,0.001770736158382049,0.011841798059179953,0.22340425531914893,2.945154798810463
apply-formula|compute|compute|conclude,4,21,0,0.22340425531914893,0.0,0.22340425531914893,223404255.3191489,2.945154798810463,0.001770736158382049,0.011841798059179953,0.22340425531914893,2.945154798810463
analyze|apply-formula|simplify|isolate,4,21,0,0.22340425531914893,0.0,0.22340425531914893,223404255.3191489,2.945154798810463,0.001770736158382049,0.011841798059179953,0.22340425531914893,2.945154798810463
compute|compute|derive-intermediate,3,23,1,0.24468085106382978,0.03125,0.21343085106382978,7.829786983489369,1.9318254091735743,0.007786385109450013,0.03929920786373356,0.21343085106382978,1.9318254091735743
simplify|isolate|conclude,3,20,0,0.2127659574468085,0.0,0.2127659574468085,212765957.4468085,2.8840130306544856,0.0019306216410910505,0.012596128999801367,0.2127659574468085,2.8840130306544856
compute|compute|simplify|conclude,4,30,4,0.3191489361702128,0.125,0.19414893617021278,2.5531914689361703,1.09688815030997,0.038321096667500006,0.11582930348651131,0.19414893617021278,1.09688815030997
apply-formula|simplify,2,30,4,0.3191489361702128,0.125,0.19414893617021278,2.5531914689361703,1.09688815030997,0.038321096667500006,0.11582930348651131,0.19414893617021278,1.09688815030997
analyze|simplify|isolate,3,18,0,0.19148936170212766,0.0,0.19148936170212766,191489361.70212764,2.754867261147426,0.00633296681821717,0.03257824276679025,0.19148936170212766,2.754867261147426
isolate|compute,2,18,0,0.19148936170212766,0.0,0.19148936170212766,191489361.70212764,2.754867261147426,0.00633296681821717,0.03257824276679025,0.19148936170212766,2.754867261147426
isolate|compute|conclude,3,18,0,0.19148936170212766,0.0,0.19148936170212766,191489361.70212764,2.754867261147426,0.00633296681821717,0.03257824276679025,0.19148936170212766,2.754867261147426
apply-formula|isolate|compute,3,18,0,0.19148936170212766,0.0,0.19148936170212766,191489361.70212764,2.754867261147426,0.00633296681821717,0.03257824276679025,0.19148936170212766,2.754867261147426
compute|derive-intermediate|conclude,3,18,0,0.19148936170212766,0.0,0.19148936170212766,191489361.70212764,2.754867261147426,0.00633296681821717,0.03257824276679025,0.19148936170212766,2.754867261147426
analyze|apply-formula|isolate|compute,4,18,0,0.19148936170212766,0.0,0.19148936170212766,191489361.70212764,2.754867261147426,0.00633296681821717,0.03257824276679025,0.19148936170212766,2.754867261147426
analyze|apply-formula|simplify,3,26,3,0.2765957446808511,0.09375,0.18284574468085107,2.9503545784586294,1.1819382825744031,0.049770906066685154,0.1455051078998719,0.18284574468085107,1.1819382825744031
apply-formula|rewrite|compute|compute,4,20,1,0.2127659574468085,0.03125,0.1815159574468085,6.808510420425539,1.7541481984822718,0.014557786168934949,0.058122504480449234,0.1815159574468085,1.7541481984822718
compute|compute|derive-intermediate|conclude,4,17,0,0.18085106382978725,0.0,0.18085106382978725,180851063.82978722,2.686310214465804,0.0062449735929163445,0.03257824276679025,0.18085106382978725,2.686310214465804
apply-formula|simplify|compute,3,16,0,0.1702127659574468,0.0,0.1702127659574468,170212765.95744678,2.6146490260138093,0.011296144407113854,0.0475290045023478,0.1702127659574468,2.6146490260138093
