motif,motif_length,support,prevalence,question_coverage,success_present,failure_present,success_rate_present,success_rate_absent,support_difference,lift_overall_success,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,fisher_p_value,fdr_q_value,avg_stage_position,stage_bucket,avg_trace_length_present,noise_cooccurrence_rate,top_neighbor_motifs
action:compute,1,339,0.753333,15,263,76,0.775811,0.306306,0.469505,1.175472,7.737520,4.811388,12.443232,0.00000000,0.00000000,0.482695,middle,14.209440,0.053097,action:apply-formula || action:conclude || action:analyze || action:instantiate || action:rewrite
action:compute milestone:derived:solution,2,43,0.095556,2,43,0,1.000000,0.624079,0.375921,1.515152,52.473477,3.207134,858.543983,0.00000001,0.00000016,0.960021,late,12.674419,0.000000,milestone:derived:solution || action:compute || action:apply-formula || action:rewrite || milestone:reduced-to:one-variable
milestone:key-relation:exponents-equal strategy:solve-linear,2,16,0.035556,1,16,0,1.000000,0.647465,0.352535,1.515152,17.994671,1.072152,302.016929,0.00191580,0.00418677,0.719940,late,10.500000,0.000000,strategy:solve-linear || milestone:key-relation:exponents-equal || milestone:derived:solution || milestone:applied:power-of-a-power || action:compute
action:apply-formula,1,249,0.553333,12,186,63,0.746988,0.552239,0.194749,1.131800,2.383849,1.601958,3.547371,0.00001639,0.00014327,0.294305,early,13.682731,0.076305,action:compute || action:analyze || action:conclude || action:instantiate || action:rewrite
milestone:key-relation:exponents-equal,1,24,0.053333,1,24,0,1.000000,0.640845,0.359155,1.515152,27.500914,1.660719,455.405328,0.00006347,0.00026547,0.660371,middle,10.916667,0.000000,milestone:derived:solution || milestone:applied:power-of-a-power || action:compute || action:apply-formula || strategy:equate-exponents
strategy:equate-exponents,1,22,0.048889,1,22,0,1.000000,0.642523,0.357477,1.515152,25.072595,1.510353,416.217310,0.00010778,0.00040706,0.383558,middle,11.000000,0.000000,milestone:key-relation:exponents-equal || milestone:derived:solution || milestone:applied:power-of-a-power || action:compute || action:apply-formula
milestone:derived:solution,1,49,0.108889,2,49,0,1.000000,0.618454,0.381546,1.515152,61.152918,3.744537,998.702787,0.00000000,0.00000003,0.967584,late,12.510204,0.000000,action:compute || action:apply-formula || action:compute milestone:derived:solution || action:rewrite || milestone:reduced-to:one-variable
strategy:solve-linear action:compute,2,19,0.042222,1,19,0,1.000000,0.645012,0.354988,1.515152,21.495512,1.288872,358.497078,0.00035941,0.00104337,0.842153,late,11.000000,0.000000,strategy:solve-linear || milestone:key-relation:exponents-equal || milestone:derived:solution || milestone:applied:power-of-a-power || action:compute
strategy:equate-exponents action:compare,2,15,0.033333,1,15,0,1.000000,0.648276,0.351724,1.515152,16.844248,1.000949,283.459625,0.00357773,0.00685584,0.481215,middle,10.600000,0.000000,strategy:equate-exponents || milestone:key-relation:exponents-equal || milestone:derived:solution || milestone:applied:power-of-a-power || action:compute
milestone:key-relation:exponents-equal strategy:solve-linear action:compute,3,15,0.033333,1,15,0,1.000000,0.648276,0.351724,1.515152,16.844248,1.000949,283.459625,0.00357773,0.00685584,0.819709,late,10.400000,0.000000,strategy:solve-linear action:compute || strategy:solve-linear || milestone:key-relation:exponents-equal strategy:solve-linear || milestone:key-relation:exponents-equal || milestone:derived:solution
strategy:solve-linear,1,21,0.046667,1,21,0,1.000000,0.643357,0.356643,1.515152,23.871609,1.435989,396.837128,0.00019100,0.00064607,0.726823,late,11.142857,0.000000,milestone:key-relation:exponents-equal || milestone:derived:solution || milestone:applied:power-of-a-power || action:compute || action:apply-formula
milestone:equation-simplified strategy:equate-exponents action:compare,3,13,0.028889,1,13,0,1.000000,0.649886,0.350114,1.515152,14.567663,0.860075,246.742056,0.00580935,0.01022550,0.429335,middle,10.692308,0.000000,strategy:equate-exponents action:compare || strategy:equate-exponents || milestone:key-relation:exponents-equal || milestone:equation-simplified strategy:equate-exponents || milestone:equation-simplified
action:compare,1,23,0.051111,2,23,0,1.000000,0.641686,0.358314,1.515152,26.282332,1.585261,435.739543,0.00006291,0.00026547,0.527881,middle,10.304348,0.000000,action:apply-formula || milestone:key-relation:exponents-equal || milestone:derived:solution || milestone:applied:power-of-a-power || action:compute
strategy:equate-exponents action:compare milestone:key-relation:exponents-equal,3,11,0.024444,1,11,0,1.000000,0.651481,0.348519,1.515152,12.322862,0.721229,210.547351,0.01900313,0.02779028,0.586760,middle,10.454545,0.000000,strategy:equate-exponents action:compare || strategy:equate-exponents || milestone:key-relation:exponents-equal || milestone:derived:solution || milestone:applied:power-of-a-power
milestone:equation-simplified strategy:equate-exponents,2,17,0.037778,1,17,0,1.000000,0.646651,0.353349,1.515152,19.153298,1.143871,320.708102,0.00106042,0.00257814,0.376426,middle,10.882353,0.000000,strategy:equate-exponents || milestone:key-relation:exponents-equal || milestone:equation-simplified || milestone:derived:solution || milestone:applied:power-of-a-power
