motif,motif_length,support,prevalence,question_coverage,success_present,failure_present,success_rate_present,success_rate_absent,support_difference,lift_overall_success,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,fisher_p_value,fdr_q_value,avg_stage_position,stage_bucket,avg_trace_length_present,noise_cooccurrence_rate,top_neighbor_motifs
strategy:equate-exponents action:compare,2,15,0.033333,1,15,0,1.000000,0.648276,0.351724,1.515152,16.844248,1.000949,283.459625,0.00357773,0.00768549,0.481215,middle,10.600000,0.000000,action:apply-formula milestone:applied:power-of-a-power || milestone:equation-simplified strategy:equate-exponents action:compare || milestone:equation-simplified strategy:equate-exponents || strategy:use-exponent-rule action:apply-formula milestone:applied:power-of-a-power || strategy:use-exponent-rule action:apply-formula
action:apply-formula milestone:applied:power-of-a-power,2,22,0.048889,1,22,0,1.000000,0.642523,0.357477,1.515152,25.072595,1.510353,416.217310,0.00010778,0.00055816,0.129075,early,10.818182,0.000000,strategy:use-exponent-rule action:apply-formula milestone:applied:power-of-a-power || strategy:use-exponent-rule action:apply-formula || strategy:solve-linear action:compute || milestone:equation-simplified strategy:equate-exponents || milestone:key-relation:exponents-equal strategy:solve-linear
strategy:equate-exponents action:compare milestone:key-relation:exponents-equal,3,11,0.024444,1,11,0,1.000000,0.651481,0.348519,1.515152,12.322862,0.721229,210.547351,0.01900313,0.02962853,0.586760,middle,10.454545,0.000000,strategy:equate-exponents action:compare || action:compare milestone:key-relation:exponents-equal || action:apply-formula milestone:applied:power-of-a-power || milestone:equation-simplified strategy:equate-exponents action:compare || milestone:equation-simplified strategy:equate-exponents
milestone:key-relation:exponents-equal strategy:solve-linear action:compute,3,15,0.033333,1,15,0,1.000000,0.648276,0.351724,1.515152,16.844248,1.000949,283.459625,0.00357773,0.00768549,0.819709,late,10.400000,0.000000,strategy:solve-linear action:compute || milestone:key-relation:exponents-equal strategy:solve-linear || action:apply-formula milestone:applied:power-of-a-power || strategy:use-exponent-rule action:apply-formula milestone:applied:power-of-a-power || strategy:use-exponent-rule action:apply-formula
milestone:key-relation:exponents-equal strategy:solve-linear,2,16,0.035556,1,16,0,1.000000,0.647465,0.352535,1.515152,17.994671,1.072152,302.016929,0.00191580,0.00496055,0.719940,late,10.500000,0.000000,strategy:solve-linear action:compute || milestone:key-relation:exponents-equal strategy:solve-linear action:compute || action:apply-formula milestone:applied:power-of-a-power || strategy:use-exponent-rule action:apply-formula milestone:applied:power-of-a-power || strategy:use-exponent-rule action:apply-formula
action:compare milestone:key-relation:exponents-equal,2,14,0.031111,1,14,0,1.000000,0.649083,0.350917,1.515152,15.701940,0.930258,265.035026,0.00337146,0.00768549,0.624370,middle,10.357143,0.000000,action:apply-formula milestone:applied:power-of-a-power || strategy:solve-linear action:compute || strategy:equate-exponents action:compare milestone:key-relation:exponents-equal || strategy:equate-exponents action:compare || strategy:use-exponent-rule action:apply-formula milestone:applied:power-of-a-power
action:compare milestone:key-relation:exponents-equal strategy:solve-linear,3,9,0.020000,1,9,0,1.000000,0.653061,0.346939,1.515152,10.109185,0.584408,174.870316,0.03153493,0.04618752,0.679233,late,10.000000,0.000000,strategy:solve-linear action:compute || milestone:key-relation:exponents-equal strategy:solve-linear action:compute || milestone:key-relation:exponents-equal strategy:solve-linear || action:compare milestone:key-relation:exponents-equal || action:apply-formula milestone:applied:power-of-a-power
milestone:equation-simplified strategy:equate-exponents action:compare,3,13,0.028889,1,13,0,1.000000,0.649886,0.350114,1.515152,14.567663,0.860075,246.742056,0.00580935,0.01130678,0.429335,middle,10.692308,0.000000,strategy:equate-exponents action:compare || milestone:equation-simplified strategy:equate-exponents || action:apply-formula milestone:applied:power-of-a-power || strategy:use-exponent-rule action:apply-formula milestone:applied:power-of-a-power || strategy:use-exponent-rule action:apply-formula
strategy:solve-linear action:compute,2,19,0.042222,1,19,0,1.000000,0.645012,0.354988,1.515152,21.495512,1.288872,358.497078,0.00035941,0.00135364,0.842153,late,11.000000,0.000000,action:apply-formula milestone:applied:power-of-a-power || milestone:key-relation:exponents-equal strategy:solve-linear action:compute || milestone:key-relation:exponents-equal strategy:solve-linear || strategy:use-exponent-rule action:apply-formula milestone:applied:power-of-a-power || strategy:use-exponent-rule action:apply-formula
milestone:equation-simplified strategy:equate-exponents,2,17,0.037778,1,17,0,1.000000,0.646651,0.353349,1.515152,19.153298,1.143871,320.708102,0.00106042,0.00310628,0.376426,middle,10.882353,0.000000,action:apply-formula milestone:applied:power-of-a-power || strategy:use-exponent-rule action:apply-formula milestone:applied:power-of-a-power || strategy:use-exponent-rule action:apply-formula || strategy:solve-linear action:compute || strategy:equate-exponents action:compare
strategy:use-exponent-rule action:apply-formula milestone:applied:power-of-a-power,3,17,0.037778,1,17,0,1.000000,0.646651,0.353349,1.515152,19.153298,1.143871,320.708102,0.00106042,0.00310628,0.009804,early,10.941176,0.000000,strategy:use-exponent-rule action:apply-formula || action:apply-formula milestone:applied:power-of-a-power || strategy:solve-linear action:compute || milestone:equation-simplified strategy:equate-exponents || strategy:equate-exponents action:compare
