token,question_id,question_total_runs,question_success_count,question_baseline_success_rate,n_with_token,n_without_token,succ_with_token,succ_without_token,delta_q
conclude:final-answer,150,25,2,0.08,18,7,0.05555555555555555,0.14285714285714285,-0.0873015873015873
conclude:final-answer,195,25,23,0.92,23,2,1.0,0.0,1.0
conclude:final-answer,167,28,26,0.9285714285714286,26,2,1.0,0.0,1.0
conclude:final-answer,165,26,22,0.8461538461538461,16,10,0.875,0.8,0.07499999999999996
conclude:final-answer,169,29,26,0.896551724137931,24,5,1.0,0.4,0.6
conclude:final-answer,49,26,25,0.9615384615384616,24,2,1.0,0.5,0.5
conclude:final-answer,279,20,7,0.35,15,5,0.4666666666666667,0.0,0.4666666666666667
conclude:final-answer,114,26,25,0.9615384615384616,24,2,1.0,0.5,0.5
conclude:final-answer,92,26,2,0.07692307692307693,23,3,0.08695652173913043,0.0,0.08695652173913043
conclude:final-answer,369,22,6,0.2727272727272727,8,14,0.25,0.2857142857142857,-0.0357142857142857
conclude:final-answer,45,25,23,0.92,16,9,1.0,0.7777777777777778,0.2222222222222222
conclude:final-answer,214,24,1,0.041666666666666664,18,6,0.0,0.16666666666666666,-0.16666666666666666
conclude:final-answer,226,29,21,0.7241379310344828,23,6,0.8695652173913043,0.16666666666666666,0.7028985507246377
conclude:final-answer,348,29,25,0.8620689655172413,25,4,0.92,0.5,0.42000000000000004
conclude:final-answer,120,27,20,0.7407407407407407,25,2,0.76,0.5,0.26
conclude:final-answer,172,19,18,0.9473684210526315,18,1,1.0,0.0,1.0
conclude:final-answer,183,29,26,0.896551724137931,26,3,1.0,0.0,1.0
conclude:final-answer,224,6,2,0.3333333333333333,4,2,0.5,0.0,0.5
conclude:final-answer,291,26,20,0.7692307692307693,23,3,0.8260869565217391,0.3333333333333333,0.4927536231884058
analyze:setup,165,26,22,0.8461538461538461,21,5,0.8571428571428571,0.8,0.05714285714285705
analyze:setup,114,26,25,0.9615384615384616,20,6,0.95,1.0,-0.050000000000000044
analyze:setup,369,22,6,0.2727272727272727,6,16,0.16666666666666666,0.3125,-0.14583333333333334
analyze:setup,45,25,23,0.92,15,10,0.9333333333333333,0.9,0.033333333333333326
analyze:setup,214,24,1,0.041666666666666664,23,1,0.043478260869565216,0.0,0.043478260869565216
analyze:setup,348,29,25,0.8620689655172413,17,12,0.8823529411764706,0.8333333333333334,0.04901960784313719
analyze:setup,189,17,1,0.058823529411764705,1,16,0.0,0.0625,-0.0625
analyze:setup,183,29,26,0.896551724137931,2,27,1.0,0.8888888888888888,0.11111111111111116
