token,question_presence,n_q_1_vs_0,mean_delta_1_vs_0,median_delta_1_vs_0,p_1_vs_0,q_1_vs_0,n_q_2plus_vs_0,mean_delta_2plus_vs_0,median_delta_2plus_vs_0,p_2plus_vs_0,q_2plus_vs_0
backtrack,14,14,-0.04516376247468684,-0.0819327731092437,0.0224609375,0.116796875,4,-0.09682539682539684,-0.15000000000000002,0.625,0.8700804246499932
analyze,64,16,-0.15495508694521853,-0.04006410256410253,0.4239501953125,0.7355507850646973,13,-0.08078033078033077,0.0,1.0,1.0
check-constraint,46,41,-0.02992552919285335,-0.019480519480519487,0.6358280026288412,0.8700804246499932,26,-0.05595565808161715,-0.0611111111111111,0.42435622215270996,0.7355507850646973
compute极,23,23,-0.027130453590009852,-0.07500000000000001,0.4048728942871094,0.7355507850646973,0,0.0,0.0,1.0,1.0
compare,14,13,0.07406015262290565,-0.041666666666666664,0.5810546875,0.8700804246499932,7,0.0740981240981241,-0.041666666666666664,1.0,1.0
simplify,42,37,0.09140030031839158,0.06666666666666667,0.2429849540349096,0.7019565338786278,26,0.09924044849285849,0.056891025641025605,0.42435622215270996,0.7355507850646973
case-split,17,16,0.05338427911957324,-0.0117647058823529,1.0,1.0,8,0.10086755349913244,0.05677655677655677,1.0,1.0
rewrite,62,40,0.034490491588771974,0.022727272727272707,0.617719317029696,0.8700804246499932,34,0.11952666624978235,0.11249999999999999,0.09873714670538902,0.4092554706814034
apply-formula,66,42,0.09038473286007083,0.11111111111111113,0.34888887944907765,0.7355507850646973,33,0.12980008207280935,0.0,0.42435622215270996,0.7355507850646973
instantiate,65,38,0.08115394178312613,0.012500000000000011,0.7358788008568808,0.9566424411139451,33,0.1657489108446046,0.11111111111111116,0.0191572904586792,0.116796875
derive-intermediate,45,38,0.12863867468417736,0.1213235294117647,0.011330984183587134,0.09820186292442183,37,0.1673425166072225,0.1111111111111111,0.11018416518345475,0.4092554706814034
conclude,71,58,0.23855137576785848,0.19375,0.007508175534150202,0.09760628194395263,28,0.20330730777159348,0.0,0.8318119049072266,1.0
compute,69,25,0.18563924963924966,0.0,0.1795654296875,0.583587646484375,35,0.2811744075161763,0.23529411764705882,0.0005082604475319386,0.013214771635830402
