token,question_presence,n_q_1_vs_0,mean_delta_1_vs_0,median_delta_1_vs_0,p_1_vs_0,q_1_vs_0,n_q_2plus_vs_0,mean_delta_2plus_vs_0,median_delta_2plus_vs_0,p_2plus_vs_0,q_2plus_vs_0
backtrack,15,14,-0.017031531814957777,-0.04006410256410256,0.79052734375,1.0,5,-0.08086691086691086,-0.08333333333333333,0.125,0.23214285714285715
guess,12,12,0.05840571465571467,-0.04356060606060604,0.7744140625,1.0,6,-0.038690476190476185,-0.0738095238095238,0.21875,0.35546875
check-constraint,55,49,0.10846991916542849,0.0,1.0,1.0,38,0.10877876672238737,0.0,1.0,1.0
compare,27,26,0.14777288796418298,0.1915485829959514,0.8450189828872681,1.0,18,0.1494877295957896,0.03125000000000003,1.0,1.0
case-split,29,29,0.017704461882705583,0.0,1.0,1.0,19,0.15554676598183198,0.0,1.0,1.0
simplify,68,64,0.151296415561642,0.08452380952380954,0.05589722669971113,0.11179445339942226,55,0.16419305006217474,0.14285714285714285,0.16897782228771874,0.29289489196537916
analyze,83,17,0.21011131372346958,0.10526315789473684,0.049041748046875,0.11179445339942226,12,0.2001473063973064,0.0,0.7265625,1.0
derive-intermediate,50,47,0.17256180927958148,0.11538461538461542,0.0022214337732293643,0.008251039729137639,46,0.22920879528829718,0.1492063492063492,0.00660882284228137,0.019092154877701734
rewrite,44,40,0.13369550418621626,0.0,0.6075913612730801,0.9292573760647107,39,0.23114944359404738,0.1785714285714286,0.013852965261321515,0.03601770967943594
instantiate,73,67,0.2517129344611047,0.23888888888888882,0.0008980471786680215,0.004669845329073712,62,0.23739240503100748,0.11666666666666664,0.001195120320007348,0.005178854720031841
compute,88,70,0.22480100558516708,0.1746376811594203,0.05589722669971113,0.11179445339942226,79,0.2954307382872312,0.2571428571428572,1.1091146210557397e-05,0.00014418490073724616
apply-formula,77,71,0.20008455676974934,0.16666666666666666,0.0007561070639613921,0.004669845329073712,59,0.3320597291104477,0.30158730158730157,3.3053764732060564e-05,0.00028646596101119154
conclude,79,79,0.22042968579797823,0.19999999999999996,1.9730209111390334e-06,5.129854368961487e-05,18,0.46997354497354493,0.5357142857142857,0.004180908203125,0.01358795166015625
