question_id,question_total_runs,question_success_count,question_baseline_success_rate
1000,27,4,0.14814814814814814
1002,27,18,0.6666666666666666
1020,24,10,0.4166666666666667
1025,24,9,0.375
1028,25,5,0.2
1033,27,1,0.037037037037037035
1060,25,2,0.08
1095,29,26,0.896551724137931
1121,24,5,0.20833333333333334
1132,30,1,0.03333333333333333
1139,27,4,0.14814814814814814
1142,28,5,0.17857142857142858
1147,29,20,0.6896551724137931
1155,26,8,0.3076923076923077
1164,26,14,0.5384615384615384
120,27,20,0.7407407407407407
1201,26,2,0.07692307692307693
1218,23,7,0.30434782608695654
1312,26,2,0.07692307692307693
150,25,2,0.08
165,27,22,0.8148148148148148
167,29,26,0.896551724137931
169,29,26,0.896551724137931
172,29,27,0.9310344827586207
183,30,26,0.8666666666666667
185,26,24,0.9230769230769231
189,24,1,0.041666666666666664
195,30,27,0.9
214,26,1,0.038461538461538464
222,27,1,0.037037037037037035
224,7,5,0.7142857142857143
226,29,21,0.7241379310344828
250,27,26,0.9629629629629629
252,30,20,0.6666666666666666
270,27,24,0.8888888888888888
279,30,7,0.23333333333333334
291,28,21,0.75
348,27,25,0.9259259259259259
369,25,6,0.24
375,24,20,0.8333333333333334
391,26,11,0.4230769230769231
414,25,24,0.96
415,26,20,0.7692307692307693
445,27,1,0.037037037037037035
447,29,21,0.7241379310344828
45,27,25,0.9259259259259259
466,25,5,0.2
468,27,25,0.9259259259259259
485,27,7,0.25925925925925924
49,27,26,0.9629629629629629
492,28,25,0.8928571428571429
495,30,16,0.5333333333333333
52,29,26,0.896551724137931
522,28,18,0.6428571428571429
530,29,26,0.896551724137931
535,26,14,0.5384615384615384
542,27,14,0.5185185185185185
554,30,25,0.8333333333333334
561,29,22,0.7586206896551724
573,28,20,0.7142857142857143
605,26,13,0.5
609,28,21,0.75
615,28,26,0.9285714285714286
622,29,7,0.2413793103448276
662,27,19,0.7037037037037037
68,27,17,0.6296296296296297
715,26,2,0.07692307692307693
716,27,23,0.8518518518518519
721,25,16,0.64
740,27,1,0.037037037037037035
790,28,1,0.03571428571428571
827,27,2,0.07407407407407407
834,27,2,0.07407407407407407
839,25,19,0.76
840,27,14,0.5185185185185185
842,27,16,0.5925925925925926
844,28,4,0.14285714285714285
851,26,3,0.11538461538461539
864,28,11,0.39285714285714285
876,27,5,0.18518518518518517
880,28,8,0.2857142857142857
887,27,12,0.4444444444444444
899,27,1,0.037037037037037035
92,27,2,0.07407407407407407
923,27,2,0.07407407407407407
944,28,1,0.03571428571428571
946,26,19,0.7307692307692307
950,26,22,0.8461538461538461
956,26,2,0.07692307692307693
983,27,25,0.9259259259259259
