model,feature_type,feature,coefficient,abs_coefficient
M2_l1_tokens_plus_qid_fe,token,instantiate:value-height-5,-1.998452165401202,1.998452165401202
M2_l1_tokens_plus_qid_fe,qid,92,-1.6948689854324677,1.6948689854324677
M2_l1_tokens_plus_qid_fe,token,apply-formula:power-rule,1.6521149974053584,1.6521149974053584
M2_l1_tokens_plus_qid_fe,token,conclude:final-answer,1.5198466063902232,1.5198466063902232
M2_l1_tokens_plus_qid_fe,token,compute:initial-values,-1.4762468222079457,1.4762468222079457
M2_l1_tokens_plus_qid_fe,token,apply-formula:probability-formula,-1.1104841750514303,1.1104841750514303
M2_l1_tokens_plus_qid_fe,qid,189,-1.0282112791774607,1.0282112791774607
M2_l1_tokens_plus_qid_fe,token,compute:area-circle-radius-7,-0.9564255106885596,0.9564255106885596
M2_l1_tokens_plus_qid_fe,token,simplify:fraction,0.9518545722718138,0.9518545722718138
M2_l1_tokens_plus_qid_fe,token,rewrite:simplified-equation,-0.857972596571226,0.857972596571226
M2_l1_tokens_plus_qid_fe,token,rewrite:common-denominator,0.6117818115538993,0.6117818115538993
M2_l1_tokens_plus_qid_fe,token,simplify:expression-simplification,0.5382767009395772,0.5382767009395772
M2_l1_tokens_plus_qid_fe,token,simplify:intermediate-result,0.5308358333043417,0.5308358333043417
M2_l1_tokens_plus_qid_fe,token,compute:intermediate-result,-0.5021876839771462,0.5021876839771462
M2_l1_tokens_plus_qid_fe,token,rewrite:expression,0.4234162069283167,0.4234162069283167
M2_l1_tokens_plus_qid_fe,token,instantiate:variable-definition,-0.40097171675503196,0.40097171675503196
M2_l1_tokens_plus_qid_fe,token,simplify:symmetry,-0.38126907217997563,0.38126907217997563
M2_l1_tokens_plus_qid_fe,token,instantiate:substitution,0.3531894276052841,0.3531894276052841
M2_l1_tokens_plus_qid_fe,token,simplify:expression,0.3214589146597432,0.3214589146597432
M2_l1_tokens_plus_qid_fe,token,compute:solution,0.3179729536135419,0.3179729536135419
M2_l1_tokens_plus_qid_fe,token,rewrite:equation,0.3167668787377208,0.3167668787377208
M2_l1_tokens_plus_qid_fe,token,compute:substitution-0,0.2986633408634292,0.2986633408634292
M2_l1_tokens_plus_qid_fe,token,compute:square,0.2965371976399837,0.2965371976399837
M2_l1_tokens_plus_qid_fe,token,compute:product,0.2669718387603247,0.2669718387603247
M2_l1_tokens_plus_qid_fe,qid,68,-0.24593245386863796,0.24593245386863796
M2_l1_tokens_plus_qid_fe,token,rewrite:substituted-equation,-0.20940679235915471,0.20940679235915471
M2_l1_tokens_plus_qid_fe,qid,45,0.20053479718643544,0.20053479718643544
M2_l1_tokens_plus_qid_fe,token,compute:sum-computation,0.15947404133857068,0.15947404133857068
M2_l1_tokens_plus_qid_fe,token,apply-formula:area-circle,-0.13107106227889678,0.13107106227889678
M2_l1_tokens_plus_qid_fe,token,compute:count,-0.12741303058061884,0.12741303058061884
M2_l1_tokens_plus_qid_fe,token,instantiate:recursive-step,-0.12091483832907625,0.12091483832907625
M2_l1_tokens_plus_qid_fe,token,instantiate:substitution-inner,0.08043907076305057,0.08043907076305057
M2_l1_tokens_plus_qid_fe,token,compute:distribution,-0.05370159107956147,0.05370159107956147
M2_l1_tokens_plus_qid_fe,token,apply-formula:pythagorean,0.02286409941442185,0.02286409941442185
M2_l1_tokens_plus_qid_fe,qid,279,-0.021779618138319398,0.021779618138319398
M2_l1_tokens_plus_qid_fe,token,derive-intermediate:count,-0.01716783394906501,0.01716783394906501
M3_l1_tokens_bigrams_plus_qid_fe,token,conclude:final-answer,0.6268185703460073,0.6268185703460073
M3_l1_tokens_bigrams_plus_qid_fe,token,instantiate:variable-definition,-0.12497434950833239,0.12497434950833239
