model,feature_type,feature,coefficient,abs_coefficient
M2_l1_tokens_plus_qid_fe,token,strategy:setup-coordinates,-3.1302023859751067,3.1302023859751067
M2_l1_tokens_plus_qid_fe,token,milestone:derived:solution,2.51664431161323,2.51664431161323
M2_l1_tokens_plus_qid_fe,token,milestone:final-value,2.245029098447072,2.245029098447072
M2_l1_tokens_plus_qid_fe,qid,92,-1.9689071561990847,1.9689071561990847
M2_l1_tokens_plus_qid_fe,token,milestone:final-result,1.8567017949071907,1.8567017949071907
M2_l1_tokens_plus_qid_fe,token,milestone:key-relation:numerator-simplified,1.7202731345091733,1.7202731345091733
M2_l1_tokens_plus_qid_fe,token,action:combine,1.707278216388146,1.707278216388146
M2_l1_tokens_plus_qid_fe,qid,150,-1.619684571842877,1.619684571842877
M2_l1_tokens_plus_qid_fe,token,action:substitute,1.434902068431289,1.434902068431289
M2_l1_tokens_plus_qid_fe,token,noise:corrupted-span,-1.2833321263466064,1.2833321263466064
M2_l1_tokens_plus_qid_fe,token,milestone:derived:savings,-1.2032274218908077,1.2032274218908077
M2_l1_tokens_plus_qid_fe,token,milestone:derived:power-terms,-1.0948657498051617,1.0948657498051617
M2_l1_tokens_plus_qid_fe,token,strategy:derive-fraction,1.050372564504846,1.050372564504846
M2_l1_tokens_plus_qid_fe,token,action:apply-formula,0.9198361440288226,0.9198361440288226
M2_l1_tokens_plus_qid_fe,token,milestone:key-relation:var1=const-var2,0.8946028158613973,0.8946028158613973
M2_l1_tokens_plus_qid_fe,token,milestone:key-relation:angle-sum-180,0.871681962365078,0.871681962365078
M2_l1_tokens_plus_qid_fe,qid,189,-0.7721898942425928,0.7721898942425928
M2_l1_tokens_plus_qid_fe,token,action:compare,0.7001890132941858,0.7001890132941858
M2_l1_tokens_plus_qid_fe,token,milestone:reduced-to:modulo,-0.6580457654721289,0.6580457654721289
M2_l1_tokens_plus_qid_fe,token,strategy:choose-representation,0.6464113904692168,0.6464113904692168
M2_l1_tokens_plus_qid_fe,qid,68,-0.6233827929601625,0.6233827929601625
M2_l1_tokens_plus_qid_fe,token,action:instantiate,-0.5959145658829188,0.5959145658829188
M2_l1_tokens_plus_qid_fe,token,action:analyze,0.5525729212679459,0.5525729212679459
M2_l1_tokens_plus_qid_fe,token,action:conclude,0.5476776295730965,0.5476776295730965
M2_l1_tokens_plus_qid_fe,token,milestone:key-relation:expr=const,-0.4425161446757552,0.4425161446757552
M2_l1_tokens_plus_qid_fe,token,milestone:key-relation:math-remaining,0.40868828628551557,0.40868828628551557
M2_l1_tokens_plus_qid_fe,token,milestone:identified:base-case,-0.3400722205923554,0.3400722205923554
M2_l1_tokens_plus_qid_fe,token,milestone:derived:odd-function,-0.2757957468358529,0.2757957468358529
M2_l1_tokens_plus_qid_fe,token,milestone:intermediate-product,0.23891668502400787,0.23891668502400787
M2_l1_tokens_plus_qid_fe,token,milestone:derived:closed-form,0.16837771778964883,0.16837771778964883
M2_l1_tokens_plus_qid_fe,token,milestone:key-relation:product-sum,-0.14580052483241834,0.14580052483241834
M2_l1_tokens_plus_qid_fe,token,action:check-constraint,0.12942395482024288,0.12942395482024288
M2_l1_tokens_plus_qid_fe,token,milestone:derived:pattern,0.1137903123326999,0.1137903123326999
M2_l1_tokens_plus_qid_fe,qid,169,0.07450068175278605,0.07450068175278605
M2_l1_tokens_plus_qid_fe,token,action:rewrite,-0.057284007682064396,0.057284007682064396
M2_l1_tokens_plus_qid_fe,token,strategy:compute-total,-0.05215559058313139,0.05215559058313139
M2_l1_tokens_plus_qid_fe,token,milestone:identified:boundary-case,0.03856169051326715,0.03856169051326715
M2_l1_tokens_plus_qid_fe,token,action:compute,-0.03189469238843708,0.03189469238843708
M2_l1_tokens_plus_qid_fe,token,action:derive-intermediate,-0.01304149429055683,0.01304149429055683
M2_l1_tokens_plus_qid_fe,token,milestone:derived:even-function,-0.008889293714957393,0.008889293714957393
M3_l1_tokens_bigrams_plus_qid_fe,token,milestone:derived:closed-form noise:corrupted-span,4.820274030833021,4.820274030833021
M3_l1_tokens_bigrams_plus_qid_fe,token,action:analyze milestone:key-relation:binomial-formula,3.749421641562343,3.749421641562343
M3_l1_tokens_bigrams_plus_qid_fe,token,strategy:setup-coordinates,-3.439057482993456,3.439057482993456
M3_l1_tokens_bigrams_plus_qid_fe,token,action:derive-intermediate milestone:key-relation:math-remaining,3.2027183614130665,3.2027183614130665
M3_l1_tokens_bigrams_plus_qid_fe,token,noise:corrupted-span action:compute,2.9058189645078683,2.9058189645078683
M3_l1_tokens_bigrams_plus_qid_fe,token,milestone:identified:base-case,-2.708156967580888,2.708156967580888
