model,feature_type,feature,coefficient,abs_coefficient
M2_l1_tokens_plus_qid_fe,token,solve,1.5391799654347584,1.5391799654347584
M2_l1_tokens_plus_qid_fe,token,count,-0.6330038954670468,0.6330038954670468
M2_l1_tokens_plus_qid_fe,token,rationalize,0.5713650907508557,0.5713650907508557
M2_l1_tokens_plus_qid_fe,token,determine-ratio,-0.5623367480850526,0.5623367480850526
M2_l1_tokens_plus_qid_fe,token,conclude,0.5594709992741993,0.5594709992741993
M2_l1_tokens_plus_qid_fe,token,approximate,-0.550043192693073,0.550043192693073
M2_l1_tokens_plus_qid_fe,token,transform,0.5352208459438272,0.5352208459438272
M2_l1_tokens_plus_qid_fe,qid,740,-0.4591535883217592,0.4591535883217592
M2_l1_tokens_plus_qid_fe,token,backtrack,-0.45652408635404934,0.45652408635404934
M2_l1_tokens_plus_qid_fe,qid,348,0.4334885341423829,0.4334885341423829
M2_l1_tokens_plus_qid_fe,qid,92,-0.43251847132657667,0.43251847132657667
M2_l1_tokens_plus_qid_fe,qid,445,-0.430267132927692,0.430267132927692
M2_l1_tokens_plus_qid_fe,qid,956,-0.3350051594907758,0.3350051594907758
M2_l1_tokens_plus_qid_fe,qid,1033,-0.3299982208782304,0.3299982208782304
M2_l1_tokens_plus_qid_fe,qid,715,-0.3008212814535539,0.3008212814535539
M2_l1_tokens_plus_qid_fe,token,isolate,0.2539656279255279,0.2539656279255279
M2_l1_tokens_plus_qid_fe,qid,790,-0.2456350808011236,0.2456350808011236
M2_l1_tokens_plus_qid_fe,token,derive-constraint,-0.24104152187979483,0.24104152187979483
M2_l1_tokens_plus_qid_fe,qid,189,-0.22887595743925399,0.22887595743925399
M2_l1_tokens_plus_qid_fe,token,infer,0.22856742813115202,0.22856742813115202
M2_l1_tokens_plus_qid_fe,qid,214,-0.2280819350545568,0.2280819350545568
M2_l1_tokens_plus_qid_fe,qid,150,-0.20892468066360856,0.20892468066360856
M2_l1_tokens_plus_qid_fe,qid,52,0.16584040369314143,0.16584040369314143
M2_l1_tokens_plus_qid_fe,qid,169,0.1644150121028445,0.1644150121028445
M2_l1_tokens_plus_qid_fe,qid,1060,-0.16413263965065353,0.16413263965065353
M2_l1_tokens_plus_qid_fe,token,solve-equation,-0.16001920695693114,0.16001920695693114
M2_l1_tokens_plus_qid_fe,qid,944,-0.15714737125969847,0.15714737125969847
M2_l1_tokens_plus_qid_fe,qid,615,0.15591536323750937,0.15591536323750937
M2_l1_tokens_plus_qid_fe,token,guess,-0.15011607736804727,0.15011607736804727
M2_l1_tokens_plus_qid_fe,qid,1201,-0.14508905263006971,0.14508905263006971
M2_l1_tokens_plus_qid_fe,qid,899,-0.13816870086166097,0.13816870086166097
M2_l1_tokens_plus_qid_fe,qid,468,0.13158435366972618,0.13158435366972618
M2_l1_tokens_plus_qid_fe,qid,950,0.1271703619465661,0.1271703619465661
M2_l1_tokens_plus_qid_fe,qid,270,0.09979092989241008,0.09979092989241008
M2_l1_tokens_plus_qid_fe,qid,851,-0.09822584734340956,0.09822584734340956
M2_l1_tokens_plus_qid_fe,qid,1095,0.0932897797088812,0.0932897797088812
M2_l1_tokens_plus_qid_fe,qid,165,0.09162762928372431,0.09162762928372431
M2_l1_tokens_plus_qid_fe,token,case-split,-0.08707129937002954,0.08707129937002954
M2_l1_tokens_plus_qid_fe,token,check-constraint,-0.08133822078881717,0.08133822078881717
M2_l1_tokens_plus_qid_fe,qid,834,-0.0788198458440846,0.0788198458440846
M2_l1_tokens_plus_qid_fe,qid,185,0.06345081382245801,0.06345081382245801
M2_l1_tokens_plus_qid_fe,qid,250,0.05241416856842739,0.05241416856842739
M2_l1_tokens_plus_qid_fe,qid,195,0.05166929892968566,0.05166929892968566
M2_l1_tokens_plus_qid_fe,token,state-relationship,-0.03878444733139449,0.03878444733139449
M2_l1_tokens_plus_qid_fe,token,compare,-0.028570550638571248,0.028570550638571248
M2_l1_tokens_plus_qid_fe,qid,167,0.027071019594963046,0.027071019594963046
M2_l1_tokens_plus_qid_fe,token,simplify,0.025288564031397155,0.025288564031397155
M2_l1_tokens_plus_qid_fe,token,normalize,-0.024736234463813917,0.024736234463813917
M2_l1_tokens_plus_qid_fe,token,derive-intermediate,-0.022324090326522914,0.022324090326522914
M2_l1_tokens_plus_qid_fe,token,rewrite,0.022152624264676814,0.022152624264676814
M2_l1_tokens_plus_qid_fe,qid,983,0.021347064524122532,0.021347064524122532
M2_l1_tokens_plus_qid_fe,token,instantiate,0.021153031636045892,0.021153031636045892
M2_l1_tokens_plus_qid_fe,token,substitute,0.017311120560202835,0.017311120560202835
M2_l1_tokens_plus_qid_fe,token,apply-identity,-0.016971094665360613,0.016971094665360613
M2_l1_tokens_plus_qid_fe,token,check,-0.00933820435470868,0.00933820435470868
M2_l1_tokens_plus_qid_fe,token,compute,0.0019806736335767267,0.0019806736335767267
M3_l1_tokens_bigrams_plus_qid_fe,qid,189,-2.491418325616754,2.491418325616754
