token,position_bin,feature,question_presence,questions_used,mean_delta,median_delta,ci95_low,ci95_high,sign_test_p,bh_q,sign_pos,sign_neg,sign_n_nonzero,collapsed_mean_delta,collapsed_abs_mean_delta,position_abs_mean_delta,abs_delta_lift_ratio,is_ge_lift_threshold
analyze,first_third,analyze@@first_third,83,69,0.36394196297431464,0.2727272727272727,0.2755011980248275,0.4522060759020597,2.2444496451277593e-10,7.631128793434382e-09,60,9,69,0.23153694179269627,0.23153694179269627,0.36394196297431464,1.5718526821528358,1
conclude,last_third,conclude@@last_third,79,79,0.22889100133812523,0.19999999999999998,0.16014247483258337,0.2987733522724177,1.9730209111390334e-06,3.354135548936357e-05,60,18,78,0.2281375353947859,0.2281375353947859,0.22889100133812523,1.0033026829278027,0
compute,last_third,compute@@last_third,88,86,0.21731945653375107,0.14087301587301584,0.15119196262387855,0.2871577125846848,6.544227331170814e-06,7.416790975326922e-05,64,22,86,0.29283379795341813,0.29283379795341813,0.21731945653375107,0.7421255949708396,0
instantiate,first_third,instantiate@@first_third,69,68,0.1917282424246036,0.152811004784689,0.11894651718022274,0.2726320115877032,0.010337661193695459,0.07029609611712911,45,23,68,0.25555970022991603,0.25555970022991603,0.1917282424246036,0.7502287811893423,0
compare,middle_third,compare@@middle_third,18,18,0.14775264395720616,0.03749999999999999,-0.013902437662268273,0.3163320536146623,0.480682373046875,0.6809666951497396,11,7,18,0.17161997486660793,0.17161997486660793,0.14775264395720616,0.8609291783899123,0
derive-intermediate,first_third,derive-intermediate@@first_third,44,44,0.14396534972212752,0.125,0.07177922505994926,0.22001634594462607,0.048766765904474596,0.15073364006837603,29,15,44,0.20480983688374196,0.20480983688374196,0.14396534972212752,0.702922046678099,0
compute,middle_third,compute@@middle_third,84,82,0.1439434015659027,0.08166666666666667,0.0763135605284534,0.21204221631063208,0.04482852238579866,0.15073364006837603,50,31,81,0.29283379795341813,0.29283379795341813,0.1439434015659027,0.4915532379524039,0
analyze,middle_third,analyze@@middle_third,75,75,-0.13646102743918062,-0.08333333333333337,-0.2130896997861955,-0.06463334633921074,0.0033722333341480717,0.02866398334025861,24,50,74,0.23153694179269627,0.23153694179269627,0.13646102743918062,0.5893704321332849,0
compare,last_third,compare@@last_third,25,25,0.1265959325540798,0.15714285714285714,0.021545715205211775,0.23520241553864218,1.0,1.0,13,12,25,0.17161997486660793,0.17161997486660793,0.1265959325540798,0.737652669233152,0
compute,first_third,compute@@first_third,72,72,0.12215054451950774,0.11721611721611719,0.05971558360329467,0.1843436152278003,0.02446090732832437,0.13861180819383812,46,26,72,0.29283379795341813,0.29283379795341813,0.12215054451950774,0.4171326717517032,0
simplify,first_third,simplify@@first_third,44,44,0.11423119966057502,0.08354978354978354,0.0202481789751886,0.2073858659844171,0.651587827208914,0.7944738782685379,24,20,44,0.1572833702605995,0.1572833702605995,0.11423119966057502,0.7262763982696184,0
rewrite,first_third,rewrite@@first_third,43,43,0.1025909407240661,0.1071428571428571,0.02526034360981942,0.17833839258226558,0.0659940344557981,0.165431066118528,28,15,43,0.1663988410758454,0.1663988410758454,0.1025909407240661,0.6165363896813719,0
apply-formula,last_third,apply-formula@@last_third,63,63,0.09886481093895318,0.06944444444444445,0.02579553489725155,0.17279840274175537,0.1299179230225525,0.2703129016913408,38,25,63,0.23431538010070657,0.23431538010070657,0.09886481093895318,0.42193052328217634,0
rewrite,middle_third,rewrite@@middle_third,40,40,0.09861701702879015,0.11757575757575758,0.02326471045163837,0.17367682722502517,0.03847730828420026,0.15073364006837603,27,13,40,0.1663988410758454,0.1663988410758454,0.09861701702879015,0.5926544703748269,0
apply-formula,first_third,apply-formula@@first_third,70,68,0.0924345711587928,0.08086538461538464,0.019893566075173532,0.16454267092552172,0.06811867428409976,0.165431066118528,42,26,68,0.23431538010070657,0.23431538010070657,0.0924345711587928,0.3944878527353402,0
instantiate,last_third,instantiate@@last_third,63,63,-0.0755557853067986,-0.04166666666666666,-0.1668409422858739,0.012327874005768657,0.4499625362902225,0.6651620101681549,28,35,63,0.25555970022991603,0.25555970022991603,0.0755557853067986,0.2956482780298471,0
instantiate,middle_third,instantiate@@middle_third,70,70,0.07416890390571998,0.07043650793650794,0.006248460938011333,0.14334672448294739,0.06811867428409976,0.165431066118528,42,26,68,0.25555970022991603,0.25555970022991603,0.07416890390571998,0.29022143882229245,0
backtrack,last_third,backtrack@@last_third,12,12,-0.06866956841785218,-0.07692307692307693,-0.12902496181672382,-0.0036542684368771425,0.03857421875,0.15073364006837603,2,10,12,-0.045114443231148035,0.045114443231148035,0.06866956841785218,1.5221193812814509,1
check-constraint,first_third,check-constraint@@first_third,32,32,0.06796062599671897,-0.03807471264367816,-0.021240146883012123,0.16602340185399397,0.5966148958541453,0.7801887099631131,14,18,32,0.09810621103487512,0.09810621103487512,0.06796062599671897,0.6927250097606981,0
derive-intermediate,middle_third,derive-intermediate@@middle_third,49,49,0.0663095261999034,0.0357142857142857,0.007369586459117005,0.1261435000065189,0.2528697301676033,0.4776428236499173,29,20,49,0.20480983688374196,0.20480983688374196,0.0663095261999034,0.3237614325992715,0
compare,first_third,compare@@first_third,14,14,-0.06535200362307485,-0.06249999999999998,-0.20932728246716928,0.07333137250675663,0.4239501953125,0.6551957563920454,5,9,14,0.17161997486660793,0.17161997486660793,0.06535200362307485,0.3807948560409117,0
case-split,first_third,case-split@@first_third,22,22,0.05954168240845758,-0.027326839826839828,-0.037335458658988074,0.1579722439847992,0.8318119049072266,0.8838001489639282,10,12,22,0.03910003654239896,0.03910003654239896,0.05954168240845758,1.5228037534924626,1
apply-formula,middle_third,apply-formula@@middle_third,72,72,0.05810294137245083,0.08166666666666667,-0.014772472152773235,0.12707701745341402,0.04437092000802569,0.15073364006837603,45,27,72,0.23431538010070657,0.23431538010070657,0.05810294137245083,0.2479689610962743,0
simplify,middle_third,simplify@@middle_third,62,62,0.049654339738726655,0.055059523809523836,-0.005829130599689747,0.10439258907908845,0.52577336017565,0.7150517698388841,34,28,62,0.1572833702605995,0.1572833702605995,0.049654339738726655,0.3156998712353088,0
derive-intermediate,last_third,derive-intermediate@@last_third,47,46,0.04369924932568684,0.06071428571428571,-0.024888627840133987,0.11708690788208775,0.1351564508456704,0.2703129016913408,28,17,45,0.20480983688374196,0.20480983688374196,0.04369924932568684,0.21336499257353658,0
case-split,last_third,case-split@@last_third,23,23,0.042263818237353215,-0.043478260869565216,-0.06260806791052538,0.1545051091175855,0.6776394844055176,0.7944738782685379,10,13,23,0.03910003654239896,0.03910003654239896,0.042263818237353215,1.0809150572410218,0
check-constraint,last_third,check-constraint@@last_third,48,48,0.03872418468491852,-0.025062656641603953,-0.037114176722805065,0.11726778803258366,0.6654658120766186,0.7944738782685379,22,26,48,0.09810621103487512,0.09810621103487512,0.03872418468491852,0.39471695294758374,0
simplify,last_third,simplify@@last_third,62,62,0.033973309763339135,0.044949494949494906,-0.04252087107824987,0.10796075426829024,0.30567741986311836,0.5470016987024223,35,26,61,0.1572833702605995,0.1572833702605995,0.033973309763339135,0.21600064715709916,0
check-constraint,middle_third,check-constraint@@middle_third,50,50,0.03306958393306489,-0.007352941176470562,-0.03904489753527309,0.10712701582454578,0.7708669945730264,0.8597023959717084,22,25,47,0.09810621103487512,0.09810621103487512,0.03306958393306489,0.33707941203956193,0
backtrack,middle_third,backtrack@@middle_third,12,12,-0.010966717461282673,-0.04304029304029304,-0.21679063689933253,0.20825820013320015,0.3876953125,0.6276971726190477,4,8,12,-0.045114443231148035,0.045114443231148035,0.010966717461282673,0.2430866187374557,0
case-split,middle_third,case-split@@middle_third,28,28,-0.010020204029399123,-0.037241379310344824,-0.09681216000804327,0.07545727930960514,0.34492845088243484,0.5863783665001392,11,17,28,0.03910003654239896,0.03910003654239896,0.010020204029399123,0.25627096329011106,0
guess,last_third,guess@@last_third,10,10,0.008939535102578583,-0.04257246376811592,-0.0656227178618483,0.10250837568228872,0.109375,0.24791666666666667,2,8,10,0.05635748195732717,0.05635748195732717,0.008939535102578583,0.15862197515047657,0
rewrite,last_third,rewrite@@last_third,40,40,0.00762211601524162,0.03473684210526315,-0.07989150992532197,0.09217121555513332,1.0,1.0,20,20,40,0.1663988410758454,0.1663988410758454,0.00762211601524162,0.045806304695159644,0
analyze,last_third,analyze@@last_third,54,54,-0.007388534785056252,-0.027241379310344836,-0.09414292897413265,0.07550949468018711,0.7838463022094988,0.8597023959717084,25,28,53,0.23153694179269627,0.23153694179269627,0.007388534785056252,0.03191082480337624,0
