model,feature_type,feature,coefficient,abs_coefficient
M2_first_action_token_plus_qid_fe,token,__NO_FIRST_ACTION__,-5.060642669432762,5.060642669432762
M2_first_action_token_plus_qid_fe,qid,189,-4.247041260164026,4.247041260164026
M2_first_action_token_plus_qid_fe,qid,92,-4.024473657576168,4.024473657576168
M2_first_action_token_plus_qid_fe,qid,150,-3.478321423823548,3.478321423823548
M2_first_action_token_plus_qid_fe,qid,68,-1.136484684531996,1.136484684531996
M2_first_action_token_plus_qid_fe,qid,120,-0.8800524951134575,0.8800524951134575
M2_first_action_token_plus_qid_fe,qid,49,0.7817240552134778,0.7817240552134778
M2_first_action_token_plus_qid_fe,qid,183,0.620689302832813,0.620689302832813
M2_first_action_token_plus_qid_fe,token,action:analyze,-0.5176239838948596,0.5176239838948596
M2_first_action_token_plus_qid_fe,qid,172,0.34362459410034435,0.34362459410034435
M2_first_action_token_plus_qid_fe,qid,114,0.33004274650778703,0.33004274650778703
M2_first_action_token_plus_qid_fe,qid,165,-0.08224904649654864,0.08224904649654864
M2_first_action_token_plus_qid_fe,qid,45,0.015915647931557482,0.015915647931557482
M3_first_action_word_bow_plus_qid_fe,token,no_first_action,-5.0607636364741335,5.0607636364741335
M3_first_action_word_bow_plus_qid_fe,qid,189,-4.247120365166799,4.247120365166799
M3_first_action_word_bow_plus_qid_fe,qid,92,-4.024543853325944,4.024543853325944
M3_first_action_word_bow_plus_qid_fe,qid,150,-3.478259353833092,3.478259353833092
M3_first_action_word_bow_plus_qid_fe,qid,68,-1.1364087577902862,1.1364087577902862
M3_first_action_word_bow_plus_qid_fe,qid,120,-0.880137255465462,0.880137255465462
M3_first_action_word_bow_plus_qid_fe,qid,49,0.7818343216339785,0.7818343216339785
M3_first_action_word_bow_plus_qid_fe,qid,183,0.6206622747680185,0.6206622747680185
M3_first_action_word_bow_plus_qid_fe,token,analyze,-0.5178033031029987,0.5178033031029987
M3_first_action_word_bow_plus_qid_fe,qid,172,0.3437620767089398,0.3437620767089398
M3_first_action_word_bow_plus_qid_fe,qid,114,0.3301366189691696,0.3301366189691696
M3_first_action_word_bow_plus_qid_fe,qid,165,-0.0821914934842692,0.0821914934842692
M3_first_action_word_bow_plus_qid_fe,qid,45,0.015918464467560147,0.015918464467560147
