first_action,count,fraction,n_questions,success_rate,mean_within_question_delta
action:analyze,236,0.5244444444444445,14,0.614406779661017,0.09096075794932665
action:instantiate,47,0.10444444444444445,6,0.8936170212765957,0.15266701532759683
__NO_FIRST_ACTION__,40,0.08888888888888889,13,0.025,-0.6902463701933197
action:apply-formula,40,0.08888888888888889,6,0.7,0.14601319710515112
action:compute,38,0.08444444444444445,4,0.8947368421052632,0.25071839080459773
action:simplify,25,0.05555555555555555,2,0.96,-0.09770114942528729
action:factor,10,0.022222222222222223,1,1.0,0.25
action:derive-intermediate,5,0.011111111111111112,1,0.8,0.08000000000000007
action:combine,4,0.008888888888888889,1,1.0,0.1923076923076923
action:rewrite,4,0.008888888888888889,3,1.0,0.2582101806239738
action:equate,1,0.0022222222222222222,1,1.0,0.1724137931034483
