token,question_id,question_total_runs,question_success_count,question_baseline_success_rate,n_with_token,n_without_token,succ_with_token,succ_without_token,delta_q
action:rewrite,185,30,25,0.8333333333333334,1,29,1.0,0.8275862068965517,0.1724137931034483
action:rewrite,183,30,26,0.8666666666666667,1,29,1.0,0.8620689655172413,0.13793103448275867
action:rewrite,68,30,17,0.5666666666666667,2,28,1.0,0.5357142857142857,0.4642857142857143
action:apply-formula,185,30,25,0.8333333333333334,20,10,1.0,0.5,0.5
action:apply-formula,45,30,25,0.8333333333333334,1,29,1.0,0.8275862068965517,0.1724137931034483
action:apply-formula,169,30,26,0.8666666666666667,3,27,1.0,0.8518518518518519,0.14814814814814814
action:apply-formula,92,30,2,0.06666666666666667,10,20,0.1,0.05,0.05
action:apply-formula,68,30,17,0.5666666666666667,5,25,0.6,0.56,0.039999999999999925
action:apply-formula,189,30,1,0.03333333333333333,1,29,0.0,0.034482758620689655,-0.034482758620689655
__NO_FIRST_ACTION__,185,30,25,0.8333333333333334,3,27,0.0,0.9259259259259259,-0.9259259259259259
__NO_FIRST_ACTION__,172,30,27,0.9,1,29,0.0,0.9310344827586207,-0.9310344827586207
__NO_FIRST_ACTION__,167,30,26,0.8666666666666667,1,29,0.0,0.896551724137931,-0.896551724137931
__NO_FIRST_ACTION__,45,30,25,0.8333333333333334,2,28,0.0,0.8928571428571429,-0.8928571428571429
__NO_FIRST_ACTION__,165,30,22,0.7333333333333333,4,26,0.0,0.8461538461538461,-0.8461538461538461
__NO_FIRST_ACTION__,49,30,26,0.8666666666666667,4,26,0.25,0.9615384615384616,-0.7115384615384616
__NO_FIRST_ACTION__,52,30,26,0.8666666666666667,2,28,0.0,0.9285714285714286,-0.9285714285714286
__NO_FIRST_ACTION__,183,30,26,0.8666666666666667,4,26,0.0,1.0,-1.0
__NO_FIRST_ACTION__,92,30,2,0.06666666666666667,3,27,0.0,0.07407407407407407,-0.07407407407407407
__NO_FIRST_ACTION__,68,30,17,0.5666666666666667,4,26,0.0,0.6538461538461539,-0.6538461538461539
__NO_FIRST_ACTION__,114,30,25,0.8333333333333334,4,26,0.0,0.9615384615384616,-0.9615384615384616
__NO_FIRST_ACTION__,150,30,3,0.1,3,27,0.0,0.1111111111111111,-0.1111111111111111
__NO_FIRST_ACTION__,189,30,1,0.03333333333333333,5,25,0.0,0.04,-0.04
action:simplify,185,30,25,0.8333333333333334,1,29,0.0,0.8620689655172413,-0.8620689655172413
action:simplify,183,30,26,0.8666666666666667,24,6,1.0,0.3333333333333333,0.6666666666666667
action:analyze,185,30,25,0.8333333333333334,5,25,0.8,0.84,-0.039999999999999925
action:analyze,172,30,27,0.9,25,5,0.92,0.8,0.12
action:analyze,167,30,26,0.8666666666666667,8,22,0.75,0.9090909090909091,-0.15909090909090906
action:analyze,45,30,25,0.8333333333333334,27,3,0.8888888888888888,0.3333333333333333,0.5555555555555556
action:analyze,165,30,22,0.7333333333333333,9,21,0.8888888888888888,0.6666666666666666,0.2222222222222222
action:analyze,49,30,26,0.8666666666666667,9,21,1.0,0.8095238095238095,0.19047619047619047
action:analyze,169,30,26,0.8666666666666667,27,3,0.8518518518518519,1.0,-0.14814814814814814
action:analyze,52,30,26,0.8666666666666667,4,26,1.0,0.8461538461538461,0.15384615384615385
action:analyze,92,30,2,0.06666666666666667,17,13,0.058823529411764705,0.07692307692307693,-0.018099547511312222
action:analyze,68,30,17,0.5666666666666667,15,15,0.6666666666666666,0.4666666666666667,0.19999999999999996
action:analyze,114,30,25,0.8333333333333334,11,19,0.9090909090909091,0.7894736842105263,0.11961722488038273
action:analyze,150,30,3,0.1,27,3,0.1111111111111111,0.0,0.1111111111111111
action:analyze,189,30,1,0.03333333333333333,22,8,0.0,0.125,-0.125
action:instantiate,172,30,27,0.9,4,26,1.0,0.8846153846153846,0.11538461538461542
action:instantiate,167,30,26,0.8666666666666667,20,10,0.95,0.7,0.25
action:instantiate,49,30,26,0.8666666666666667,17,13,0.9411764705882353,0.7692307692307693,0.171945701357466
action:instantiate,183,30,26,0.8666666666666667,1,29,1.0,0.8620689655172413,0.13793103448275867
action:instantiate,68,30,17,0.5666666666666667,3,27,0.3333333333333333,0.5925925925925926,-0.25925925925925924
action:instantiate,189,30,1,0.03333333333333333,2,28,0.5,0.0,0.5
action:compute,167,30,26,0.8666666666666667,1,29,1.0,0.8620689655172413,0.13793103448275867
action:compute,165,30,22,0.7333333333333333,12,18,0.8333333333333334,0.6666666666666666,0.16666666666666674
action:compute,52,30,26,0.8666666666666667,24,6,0.9166666666666666,0.6666666666666666,0.25
action:compute,68,30,17,0.5666666666666667,1,29,1.0,0.5517241379310345,0.4482758620689655
